country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,$376 million,Good,online now,rankings.php?subregion=car,The Federal Colonies,$376 million,alliancestats.php?allianceid=2052,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=58369,2 Mbbl,,,Normal,,2 Mbbl per month
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,Finest of the 19th century,$375 million,Standard,online now,rankings.php?subregion=pac,Interpol,$375 million,alliancestats.php?allianceid=2042,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=39065,1 Mbbl,,,Normal,,1 Mbbl per month
PolandThePower,PolandThePower44,http://blocgame.com/alliancestats.php?allianceid=2049,29k active personnel,0 ships,First World War surplus,$375 million,Elite,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$375 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=58217,2 Mbbl,,,Good,,2 Mbbl per month
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,35k active personnel,0 ships,Finest of the 19th century,$375 million,Good,last online 10 hours ago,rankings.php?subregion=egy,SPQR,$375 million,alliancestats.php?allianceid=2064,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=63053,4553 Mbbl,,,Normal,2 Hundred Tons per month,2 Mbbl per month
Spartan lsnd,Josepgreen,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,$374 million,Elite,last online 10 hours ago,rankings.php?subregion=atl,Brotherhood of Nod,$374 million,alliancestats.php?allianceid=2049,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=59652,3 Mbbl,,,Questionable,,3 Mbbl per month
Novi Sad,Serbian Gamer,,35k active personnel,0 ships,First World War surplus,$373 million,Good,last online 3 hours ago,rankings.php?subregion=egy,,$373 million,,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=60752,2 Mbbl,,,Normal,,2 Mbbl per month
kasturi,mt.lekiu,http://blocgame.com/alliancestats.php?allianceid=2044,36k active personnel,0 ships,First World War surplus,$372 million,Good,online now,rankings.php?subregion=congo,Aseang MMP,$372 million,alliancestats.php?allianceid=2044,Congo,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=60887,1 Mbbl,,,Normal,,1 Mbbl per month
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=2039,29k active personnel,0 ships,First World War surplus,$370 million,Elite,online now,rankings.php?subregion=ara,The High Council,$370 million,alliancestats.php?allianceid=2039,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=40238,4 Mbbl,,,Normal,,4 Mbbl per month
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=2049,30k active personnel,0 ships,Finest of the 19th century,$370 million,Standard,online now,rankings.php?subregion=mes,Brotherhood of Nod,$370 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=56860,7 Mbbl,,,Normal,,7 Mbbl per month
OurTown,StarlightGlimmer,http://blocgame.com/alliancestats.php?allianceid=2045,37k active personnel,0 ships,Finest of the 19th century,$369 million,Good,online now,rankings.php?subregion=per,The Order,$369 million,alliancestats.php?allianceid=2045,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=51681,,,,Normal,,
Tyanra,SaffronMerchant,http://blocgame.com/alliancestats.php?allianceid=2064,35k active personnel,0 ships,First World War surplus,$369 million,Good,online now,rankings.php?subregion=sub,SPQR,$369 million,alliancestats.php?allianceid=2064,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=60365,,,,Normal,,
crocodile,Quadkencheng,http://blocgame.com/alliancestats.php?allianceid=2042,37k active personnel,0 ships,Finest of the 19th century,$369 million,Elite,online now,rankings.php?subregion=ind,Interpol,$369 million,alliancestats.php?allianceid=2042,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=60403,328 Mbbl,,,Normal,2 Hundred Tons per month,
Ladina,MightyBj�rn,http://blocgame.com/alliancestats.php?allianceid=2038,35k active personnel,0 ships,First World War surplus,$369 million,Elite,online now,rankings.php?subregion=car,Che Guevara League,$369 million,alliancestats.php?allianceid=2038,Caribbean,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=62936,,,,Isolated,,
Syphirious,Doxal,http://blocgame.com/alliancestats.php?allianceid=2042,33k active personnel,0 ships,First World War surplus,$368 million,Elite,online now,rankings.php?subregion=mes,Interpol,$368 million,alliancestats.php?allianceid=2042,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=59670,6 Mbbl,,,Normal,,6 Mbbl per month
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,$367 million,Elite,online now,rankings.php?subregion=per,The Federal Colonies,$367 million,alliancestats.php?allianceid=2052,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=48914,2 Mbbl,,,Normal,,2 Mbbl per month
Stuleja,Płetwonurkov,http://blocgame.com/alliancestats.php?allianceid=2041,35k active personnel,0 ships,First World War surplus,$366 million,Good,last online 12 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,$366 million,alliancestats.php?allianceid=2041,Southern Africa,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61524,4 Mbbl,,,Normal,,4 Mbbl per month
Lemonstan,Lemon,http://blocgame.com/alliancestats.php?allianceid=2049,31k active personnel,0 ships,Finest of the 19th century,$365 million,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,$365 million,alliancestats.php?allianceid=2049,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=40048,6 Mbbl,,,Normal,,6 Mbbl per month
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=2039,35k active personnel,0 ships,First World War surplus,$365 million,Good,online now,rankings.php?subregion=ara,The High Council,$365 million,alliancestats.php?allianceid=2039,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=40488,7 Mbbl,,,Normal,,7 Mbbl per month
The NLR,Darknight,http://blocgame.com/alliancestats.php?allianceid=2050,37k active personnel,0 ships,First World War surplus,$365 million,Good,online now,rankings.php?subregion=congo,Divine League,$365 million,alliancestats.php?allianceid=2050,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=49701,1 Mbbl,,,Questionable,,1 Mbbl per month
Scrubistan,Fernando_Shiros,http://blocgame.com/alliancestats.php?allianceid=2049,30k active personnel,0 ships,Finest of the 19th century,$365 million,Good,last online 2 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$365 million,alliancestats.php?allianceid=2049,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=59122,3 Mbbl,,,Questionable,,3 Mbbl per month
Mangkok,MangkukHayun,http://blocgame.com/alliancestats.php?allianceid=2039,43k active personnel,0 ships,First World War surplus,$365 million,Good,online now,rankings.php?subregion=ind,The High Council,$365 million,alliancestats.php?allianceid=2039,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=62210,138 Mbbl,,,Normal,2 Hundred Tons per month,1 Mbbl per month
Kachan,Chłodna Kaczka,http://blocgame.com/alliancestats.php?allianceid=2041,30k active personnel,0 ships,First World War surplus,$365 million,Elite,online now,rankings.php?subregion=atl,Lithuanian Coalition,$365 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=62963,10 Mbbl,,,Good,,10 Mbbl per month
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,$364 million,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,$364 million,alliancestats.php?allianceid=2049,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=35958,3 Mbbl,,,Normal,,3 Mbbl per month
Kondominium,AdamKarolczak,http://blocgame.com/alliancestats.php?allianceid=2041,35k active personnel,0 ships,Finest of the 19th century,$362 million,Good,online now,rankings.php?subregion=ara,Lithuanian Coalition,$362 million,alliancestats.php?allianceid=2041,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61576,5 Mbbl,,,Normal,,5 Mbbl per month
Smyrno,Mallow,http://blocgame.com/alliancestats.php?allianceid=2042,28k active personnel,0 ships,First World War surplus,$362 million,Elite,online now,rankings.php?subregion=ara,Interpol,$362 million,alliancestats.php?allianceid=2042,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=62960,1 Mbbl,,,Normal,,1 Mbbl per month
Serbija,Radovan Karad�i�,http://blocgame.com/alliancestats.php?allianceid=2041,35k active personnel,0 ships,First World War surplus,$362 million,Good,online now,rankings.php?subregion=atl,Lithuanian Coalition,$362 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=62971,4 Mbbl,,,Normal,,4 Mbbl per month
KelabuAsap,kelam,http://blocgame.com/alliancestats.php?allianceid=2039,36k active personnel,0 ships,First World War surplus,$361 million,Elite,online now,rankings.php?subregion=ind,The High Council,$361 million,alliancestats.php?allianceid=2039,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=60664,6 Mbbl,,,Normal,,6 Mbbl per month
Walletia,walletguy,,25k active personnel,0 ships,Finest of the 19th century,$361 million,Good,online now,rankings.php?subregion=car,,$361 million,,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=62978,,,,Normal,,
Skekenhouse,Kraast,http://blocgame.com/alliancestats.php?allianceid=2049,35k active personnel,0 ships,First World War surplus,$360 million,Standard,online now,rankings.php?subregion=mes,Brotherhood of Nod,$360 million,alliancestats.php?allianceid=2049,Mesopotamia,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=62962,1 Mbbl,,,Normal,,1 Mbbl per month
Utopiastan,SilmAlpha,http://blocgame.com/alliancestats.php?allianceid=2039,37k active personnel,0 ships,First World War surplus,$358 million,Good,online now,rankings.php?subregion=gui,The High Council,$358 million,alliancestats.php?allianceid=2039,Guinea,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gui,None,http://blocgame.com/stats.php?id=56876,2 Mbbl,,,Normal,,2 Mbbl per month
Sun Kingdom,Ahmed Habib,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,Finest of the 19th century,$357 million,Good,online now,rankings.php?subregion=egy,The Order,$357 million,alliancestats.php?allianceid=2045,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=5936,1 Mbbl,,,Normal,,1 Mbbl per month
Gubbins :3,Gubbins,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,First World War surplus,$356 million,Standard,online now,rankings.php?subregion=eaf,The Order,$356 million,alliancestats.php?allianceid=2045,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,None,http://blocgame.com/stats.php?id=46500,,,,Normal,17 Hundred Tons per month,1 Mbbl per month
KaleCepo,sultan lee,http://blocgame.com/alliancestats.php?allianceid=2044,39k active personnel,0 ships,First World War surplus,$351 million,Good,online now,rankings.php?subregion=ind,Aseang MMP,$351 million,alliancestats.php?allianceid=2044,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=60711,779 Mbbl,,,Normal,8 Hundred Tons per month,4 Mbbl per month
Efren,Deling,http://blocgame.com/alliancestats.php?allianceid=2038,34k active personnel,0 ships,Finest of the 19th century,$350 million,Elite,online now,rankings.php?subregion=mex,Che Guevara League,$350 million,alliancestats.php?allianceid=2038,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=62725,,,,Pariah,,
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2049,24k active personnel,0 ships,Finest of the 19th century,$344 million,Elite,last online 8 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$344 million,alliancestats.php?allianceid=2049,Mesopotamia,,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=62905,4 Mbbl,,,Normal,,4 Mbbl per month
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,37k active personnel,0 ships,First World War surplus,$332 million,Standard,last online 1 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$332 million,alliancestats.php?allianceid=2048,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=54541,5 Mbbl,,,Normal,,5 Mbbl per month
Alohaha,Jakeirt,http://blocgame.com/alliancestats.php?allianceid=2048,14k active personnel,0 ships,Finest of the 19th century,$331 million,Standard,last online 1 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$331 million,alliancestats.php?allianceid=2048,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=57669,541 Mbbl,,,Normal,3 Hundred Tons per month,1 Mbbl per month
Mak_kau,Apai_d_phoenix,http://blocgame.com/alliancestats.php?allianceid=2044,35k active personnel,0 ships,Finest of the 19th century,$329 million,Elite,last online 2 hours ago,rankings.php?subregion=chi,Aseang MMP,$329 million,alliancestats.php?allianceid=2044,China,,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=62692,451 Mbbl,,,Normal,5 Hundred Tons per month,2 Mbbl per month
Radimostan,ondralukas,http://blocgame.com/alliancestats.php?allianceid=2052,20k active personnel,0 ships,First World War surplus,$329 million,Good,online now,rankings.php?subregion=pac,The Federal Colonies,$329 million,alliancestats.php?allianceid=2052,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=62926,1 Mbbl,,,Good,,1 Mbbl per month
woosha,blaatje,http://blocgame.com/alliancestats.php?allianceid=2059,29k active personnel,0 ships,First World War surplus,$328 million,Elite,last online 1 hours ago,rankings.php?subregion=egy,The United Nations,$328 million,alliancestats.php?allianceid=2059,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=58158,10 Mbbl,,,Normal,,10 Mbbl per month
Aryana,Williarsk,http://blocgame.com/alliancestats.php?allianceid=2038,20k active personnel,0 ships,Finest of the 19th century,$327 million,Standard,last online 5 hours ago,rankings.php?subregion=gra,Che Guevara League,$327 million,alliancestats.php?allianceid=2038,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=2313,1 Mbbl,,,Isolated,,1 Mbbl per month
Enroth,Morglin,,4k active personnel,0 ships,Finest of the 19th century,$325 million,Standard,last online 5 hours ago,rankings.php?subregion=waf,,$325 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,None,http://blocgame.com/stats.php?id=62546,,,,Normal,,
Wadowicki Blues,tajfunek12,,25k active personnel,0 ships,First World War surplus,$325 million,Elite,online now,rankings.php?subregion=egy,,$325 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=62645,5 Mbbl,,,Good,,5 Mbbl per month
axiology,Cameron Love,,14k active personnel,0 ships,Finest of the 19th century,$324 million,Standard,last online 21 hours ago,rankings.php?subregion=chi,,$324 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=44315,1 Mbbl,,,Normal,,1 Mbbl per month
Vierte Reich,Silver_Sr71,,15k active personnel,0 ships,Finest of the 19th century,$324 million,Elite,last online 13 hours ago,rankings.php?subregion=saf,,$324 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=59580,,,,Questionable,3 Hundred Tons per month,
Khalifah,Appi jaafar,,30k active personnel,0 ships,First World War surplus,$324 million,Elite,last online 1 hours ago,rankings.php?subregion=pac,,$324 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,Scattered terrorists,http://blocgame.com/stats.php?id=62665,2 Mbbl,,,Normal,,2 Mbbl per month
South Park,cartman,,25k active personnel,0 ships,First World War surplus,$323 million,Elite,last online 20 hours ago,rankings.php?subregion=car,,$323 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=228,,,,Good,4 Hundred Tons per month,
Rudenia,Supreme Leader,,25k active personnel,0 ships,First World War surplus,$323 million,Elite,last online 21 hours ago,rankings.php?subregion=ara,,$323 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=47765,1 Mbbl,,,Good,,1 Mbbl per month
poggy,yipog,,15k active personnel,0 ships,Finest of the 19th century,$323 million,Elite,last online 7 hours ago,rankings.php?subregion=ara,,$323 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=58681,,,,Normal,,
Conferan,Cryptox,http://blocgame.com/alliancestats.php?allianceid=2039,34k active personnel,0 ships,Finest of the 19th century,$322 million,Elite,online now,rankings.php?subregion=ind,The High Council,$322 million,alliancestats.php?allianceid=2039,East Indies,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=56710,478 Mbbl,,,Normal,4 Hundred Tons per month,1 Mbbl per month
Smoking Bandit,RENTAKA,http://blocgame.com/alliancestats.php?allianceid=2044,31k active personnel,0 ships,First World War surplus,$322 million,Elite,online now,rankings.php?subregion=egy,Aseang MMP,$322 million,alliancestats.php?allianceid=2044,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=60611,6 Mbbl,,,Normal,,6 Mbbl per month
Pizzarriba,Speedy Gonzales,http://blocgame.com/alliancestats.php?allianceid=2038,39k active personnel,0 ships,First World War surplus,$322 million,Elite,last online 23 hours ago,rankings.php?subregion=car,Che Guevara League,$322 million,alliancestats.php?allianceid=2038,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=62957,,,,Good,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,$321 million,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,$321 million,alliancestats.php?allianceid=2049,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=41268,1 Mbbl,,,Normal,,1 Mbbl per month
OnlyJuanOvue,BigGuyBane,,12k active personnel,0 ships,Finest of the 19th century,$321 million,Standard,last online 4 hours ago,rankings.php?subregion=ara,,$321 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=52889,2760 Mbbl,,,Good,2 Hundred Tons per month,2 Mbbl per month
Glubistan,Glub,http://blocgame.com/alliancestats.php?allianceid=2064,20k active personnel,0 ships,Finest of the 19th century,$321 million,Standard,last online 1 hours ago,rankings.php?subregion=ara,SPQR,$321 million,alliancestats.php?allianceid=2064,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=63027,2 Mbbl,,,Normal,,2 Mbbl per month
Akhlaken,GaGaK,http://blocgame.com/alliancestats.php?allianceid=2044,25k active personnel,0 ships,First World War surplus,$320 million,Elite,online now,rankings.php?subregion=ind,Aseang MMP,$320 million,alliancestats.php?allianceid=2044,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=60346,389 Mbbl,,,Good,7 Hundred Tons per month,1 Mbbl per month
Johor,Helmi Omar,,20k active personnel,0 ships,Finest of the 19th century,$320 million,Standard,last online 3 hours ago,rankings.php?subregion=pac,,$320 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=60442,2 Mbbl,,,Good,,2 Mbbl per month
Inferia,Alexkovisk,,25k active personnel,0 ships,Finest of the 19th century,$320 million,Elite,online now,rankings.php?subregion=mex,,$320 million,,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=60789,1 Mbbl,,,Normal,,1 Mbbl per month
Thair,Tacoonastick,http://blocgame.com/alliancestats.php?allianceid=2061,19k active personnel,0 ships,First World War surplus,$320 million,Elite,last online 1 hours ago,rankings.php?subregion=congo,African Socialism 2,$320 million,alliancestats.php?allianceid=2061,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=60955,1 Mbbl,,,Normal,,1 Mbbl per month
Tanus,Hoovytaurus,http://blocgame.com/alliancestats.php?allianceid=2048,24k active personnel,0 ships,First World War surplus,$320 million,Elite,online now,rankings.php?subregion=car,Brotherhood of Zion,$320 million,alliancestats.php?allianceid=2048,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=61059,,,,Questionable,2 Hundred Tons per month,
Burke Tome,Haggashed,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,$320 million,Elite,last online 11 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$320 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=63028,3341 Mbbl,,,Normal,3 Hundred Tons per month,4 Mbbl per month
swahilia,benkenobi7,,15k active personnel,0 ships,Finest of the 19th century,$320 million,Elite,last online 1 hours ago,rankings.php?subregion=egy,,$320 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=63085,3 Mbbl,,,Normal,,3 Mbbl per month
Kozakura,Tenrai,http://blocgame.com/alliancestats.php?allianceid=2039,29k active personnel,0 ships,First World War surplus,$319 million,Elite,last online 21 hours ago,rankings.php?subregion=pac,The High Council,$319 million,alliancestats.php?allianceid=2039,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=48894,,,,Normal,2 Hundred Tons per month,1 Mbbl per month
