country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Good,last online 10 hours ago,rankings.php?subregion=pac,The Federal Colonies,11 Hundred Tons per month,$25689 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,10 Mbbl per month,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,359k active personnel,73 ships,Advanced,Gandhi-like,15 factories,Good,last online 1 hours ago,rankings.php?subregion=ind,The Federal Colonies,25 Hundred Tons per month,$25581 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,5 Mbbl per month,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,54 ships,Advanced,Gandhi-like,12 factories,Elite,last online 23 hours ago,rankings.php?subregion=mex,The Federal Colonies,18 Hundred Tons per month,$25237 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,7 Mbbl per month,,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,133k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=car,The Federal Colonies,10 Hundred Tons per month,$25224 million,alliancestats.php?allianceid=1401,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,226k active personnel,0 ships,Advanced,Angelic,15 factories,Good,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,70 Hundred Tons per month,$25120 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,462k active personnel,63 ships,Advanced,Gandhi-like,21 factories,Good,last online 24 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,87 Hundred Tons per month,$24509 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,21 Mbbl per month,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,508k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,25 factories,Poor,last online 2 hours ago,rankings.php?subregion=chi,BAMF,78 Hundred Tons per month,$23917 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,91 Mbbl,6 Mbbl per month,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,298k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,last online 4 hours ago,rankings.php?subregion=pac,BAMF,24 Hundred Tons per month,$23521 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,7 Mbbl per month,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,221k active personnel,42 ships,Advanced,Gandhi-like,11 factories,Good,last online 9 hours ago,rankings.php?subregion=ama,BAMF,33 Hundred Tons per month,$23184 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,14 Mbbl per month,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,369k active personnel,94 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 11 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,150 Hundred Tons per month,$22686 million,alliancestats.php?allianceid=1568,West Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,10 Mbbl per month,,10%
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,238k active personnel,71 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 12 hours ago,rankings.php?subregion=ama,The High Council,30 Hundred Tons per month,$22667 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,9 Mbbl per month,2 Tons,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,222k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,The Federal Colonies,5 Hundred Tons per month,$22113 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,2662 Mbbl,27 Mbbl per month,,
Lyranistan,Lyranistan,,220k active personnel,12 ships,Advanced,Questionable,15 factories,Good,online now,rankings.php?subregion=mes,,25 Hundred Tons per month,$22038 million,,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,64139 km 2,http://blocgame.com/stats.php?id=56860,1135 Mbbl,75 Mbbl per month,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,338k active personnel,36 ships,Persian Gulf War surplus,Angelic,16 factories,Good,online now,rankings.php?subregion=chi,The High Council,38 Hundred Tons per month,$21544 million,alliancestats.php?allianceid=1595,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,49825 km 2,http://blocgame.com/stats.php?id=44539,42 Mbbl,,,55%
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,271k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,last online 12 hours ago,rankings.php?subregion=chi,BAMF,40 Hundred Tons per month,$21257 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,547k active personnel,52 ships,Advanced,Gandhi-like,22 factories,Good,online now,rankings.php?subregion=per,Brotherhood of Nod,102 Hundred Tons per month,$21097 million,alliancestats.php?allianceid=1580,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,2589 Mbbl,109 Mbbl per month,4 Tons,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,499k active personnel,18 ships,Advanced,Gandhi-like,24 factories,Good,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,22 Hundred Tons per month,$20955 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,82 Mbbl,102 Mbbl per month,1 Tons,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,419k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Good,last online 4 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,30 Hundred Tons per month,$20938 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,9 Mbbl per month,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,323k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 159 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,60 Hundred Tons per month,$20557 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,,
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1393,460k active personnel,77 ships,Advanced,Gandhi-like,24 factories,Standard,last online 3 hours ago,rankings.php?subregion=mes,BAMF,120 Hundred Tons per month,$20503 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,152255 km 2,http://blocgame.com/stats.php?id=54825,2626 Mbbl,133 Mbbl per month,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,online now,rankings.php?subregion=pac,BAMF,42 Hundred Tons per month,$20005 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,12 Mbbl per month,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,431k active personnel,51 ships,Advanced,Gandhi-like,21 factories,Poor,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,11 Hundred Tons per month,$19840 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,40365 km 2,http://blocgame.com/stats.php?id=44384,,7 Mbbl per month,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,228k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 9 hours ago,rankings.php?subregion=mes,BAMF,10 Hundred Tons per month,$19588 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24512 km 2,http://blocgame.com/stats.php?id=49652,173 Mbbl,18 Mbbl per month,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,555k active personnel,91 ships,Advanced,Angelic,22 factories,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,100 Hundred Tons per month,$19582 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,165758 km 2,http://blocgame.com/stats.php?id=52362,2755 Mbbl,200 Mbbl per month,13 Tons,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,55 ships,Advanced,Gandhi-like,6 factories,Elite,online now,rankings.php?subregion=atl,BAMF,21 Hundred Tons per month,$19491 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,21 Mbbl per month,,5%
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,374k active personnel,71 ships,Advanced,Gandhi-like,19 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,BAMF,64 Hundred Tons per month,$19440 million,alliancestats.php?allianceid=1393,Amazonia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,106928 km 2,http://blocgame.com/stats.php?id=45527,,16 Mbbl per month,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Good,last online 18 hours ago,rankings.php?subregion=ara,BAMF,14 Hundred Tons per month,$18871 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,5681 Mbbl,25 Mbbl per month,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,21k active personnel,27 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 81 hours ago,rankings.php?subregion=per,The Federal Colonies,18 Hundred Tons per month,$18805 million,alliancestats.php?allianceid=1401,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,30420 km 2,http://blocgame.com/stats.php?id=40311,,17 Mbbl per month,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,339k active personnel,39 ships,Advanced,Pariah,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,Inter/pol/,51 Hundred Tons per month,$18470 million,alliancestats.php?allianceid=1644,Persia,Plentiful,Powerful,http://blocgame.com/rankings.php?subregion=per,98447 km 2,http://blocgame.com/stats.php?id=54220,2832 Mbbl,66 Mbbl per month,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,317k active personnel,52 ships,Persian Gulf War surplus,Normal,21 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Nod,23 Hundred Tons per month,$18407 million,alliancestats.php?allianceid=1580,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,42905 km 2,http://blocgame.com/stats.php?id=51725,,,,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,295k active personnel,60 ships,Advanced,Gandhi-like,14 factories,Elite,online now,rankings.php?subregion=ara,Wreckage brothers,39 Hundred Tons per month,$18070 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,45 Mbbl per month,1 Tons,
jOOskoland,jOOsko,http://blocgame.com/alliancestats.php?allianceid=1595,15k active personnel,44 ships,Advanced,Gandhi-like,28 factories,Elite,online now,rankings.php?subregion=atl,The High Council,131 Hundred Tons per month,$17978 million,alliancestats.php?allianceid=1595,Atlas,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,126734 km 2,http://blocgame.com/stats.php?id=55410,,97 Mbbl per month,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,305k active personnel,63 ships,Advanced,Gandhi-like,16 factories,Elite,last online 14 hours ago,rankings.php?subregion=per,Brotherhood of Nod,66 Hundred Tons per month,$17971 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,64179 km 2,http://blocgame.com/stats.php?id=7511,3302 Mbbl,41 Mbbl per month,1 Tons,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 11 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,35 Hundred Tons per month,$17645 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,309 Mbbl,50 Mbbl per month,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,310k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Standard,last online 1 hours ago,rankings.php?subregion=pac,BAMF,64 Hundred Tons per month,$17639 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,15 Mbbl per month,,
Slavostan,Joe Tito-Hoxha,http://blocgame.com/alliancestats.php?allianceid=1393,154k active personnel,26 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 11 hours ago,rankings.php?subregion=sea,BAMF,15 Hundred Tons per month,$16995 million,alliancestats.php?allianceid=1393,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,26582 km 2,http://blocgame.com/stats.php?id=48188,,12 Mbbl per month,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1595,26k active personnel,51 ships,Persian Gulf War surplus,Nice,13 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,The High Council,46 Hundred Tons per month,$16885 million,alliancestats.php?allianceid=1595,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,46058 km 2,http://blocgame.com/stats.php?id=49556,,34 Mbbl per month,,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,33 ships,Almost Modern,Angelic,9 factories,Elite,online now,rankings.php?subregion=car,The Federal Colonies,35 Hundred Tons per month,$16595 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,20 Mbbl per month,,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=1599,206k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 1 hours ago,rankings.php?subregion=egy,Wreckage brothers,34 Hundred Tons per month,$16446 million,alliancestats.php?allianceid=1599,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,41707 km 2,http://blocgame.com/stats.php?id=52836,1169 Mbbl,35 Mbbl per month,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,312k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 1 hours ago,rankings.php?subregion=car,Wreckage brothers,71 Hundred Tons per month,$16350 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,51 ships,Advanced,Gandhi-like,8 factories,Good,last online 22 hours ago,rankings.php?subregion=mes,The Federal Colonies,17 Hundred Tons per month,$16337 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,,18 Mbbl per month,2 Tons,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,301k active personnel,78 ships,Advanced,Nice,29 factories,Elite,last online 9 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,100 Hundred Tons per month,$16191 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,150176 km 2,http://blocgame.com/stats.php?id=40488,,100 Mbbl per month,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,927k active personnel,81 ships,Advanced,Normal,27 factories,Good,online now,rankings.php?subregion=egy,Brotherhood of Zion,30 Hundred Tons per month,$16179 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,5298 Mbbl,129 Mbbl per month,24 Tons,
The Deserted,Kamakazi Sunshine,http://blocgame.com/alliancestats.php?allianceid=1568,525k active personnel,97 ships,Advanced,Gandhi-like,22 factories,Elite,last online 11 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,87 Hundred Tons per month,$16059 million,alliancestats.php?allianceid=1568,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,137053 km 2,http://blocgame.com/stats.php?id=40459,291 Mbbl,7 Mbbl per month,,
TheDesertFox,DesertFox,http://blocgame.com/alliancestats.php?allianceid=1393,339k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Standard,last online 1 hours ago,rankings.php?subregion=pac,BAMF,69 Hundred Tons per month,$16026 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,53252 km 2,http://blocgame.com/stats.php?id=52368,,13 Mbbl per month,,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,64k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,7 factories,Elite,last online 30 hours ago,rankings.php?subregion=ara,BAMF,31 Hundred Tons per month,$16006 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34022 km 2,http://blocgame.com/stats.php?id=39037,,36 Mbbl per month,,
Gandoria,zoneguy22,http://blocgame.com/alliancestats.php?allianceid=1568,185k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 22 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,17 Hundred Tons per month,$15674 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,19833 km 2,http://blocgame.com/stats.php?id=50771,,10 Mbbl per month,,
Reality,fujisyugi,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,18 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,online now,rankings.php?subregion=saf,BAMF,161 Hundred Tons per month,$15565 million,alliancestats.php?allianceid=1393,Southern Africa,,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,78805 km 2,http://blocgame.com/stats.php?id=53029,,22 Mbbl per month,,5%
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1568,228k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,Brotherhood of Zion,39 Hundred Tons per month,$15335 million,alliancestats.php?allianceid=1568,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,40103 km 2,http://blocgame.com/stats.php?id=228,,10 Mbbl per month,,
