country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,366k active personnel,68 ships,Advanced,14 factories,Standard,last online 5 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15355 million,alliancestats.php?allianceid=1599,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41234 km 2,http://blocgame.com/stats.php?id=52844,,1 Tons,,Gandhi-like
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,228k active personnel,31 ships,Almost Modern,9 factories,Elite,online now,rankings.php?subregion=car,The Federal Colonies,$15170 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,,,Gandhi-like
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,247k active personnel,35 ships,Persian Gulf War surplus,9 factories,Standard,last online 1 hours ago,rankings.php?subregion=chi,Wreckage brothers,$15149 million,alliancestats.php?allianceid=1599,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,,Gandhi-like
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,138k active personnel,15 ships,Persian Gulf War surplus,5 factories,Good,last online 4 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14918 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,,,Gandhi-like
The Deserted,Kamakazi Sunshine,http://blocgame.com/alliancestats.php?allianceid=1594,371k active personnel,77 ships,Advanced,22 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,The Cartel,$14915 million,alliancestats.php?allianceid=1594,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,137053 km 2,http://blocgame.com/stats.php?id=40459,578 Mbbl,,,Gandhi-like
TheDesertFox,DesertFox,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,42 ships,Persian Gulf War surplus,11 factories,Standard,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$14875 million,alliancestats.php?allianceid=1393,Pacific Rim,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,53252 km 2,http://blocgame.com/stats.php?id=52368,,,,Gandhi-like
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,43 ships,Advanced,8 factories,Good,last online 24 hours ago,rankings.php?subregion=mes,The Federal Colonies,$14770 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,,2 Tons,,Gandhi-like
Paulandia,Cem Uzan,http://blocgame.com/alliancestats.php?allianceid=1568,429k active personnel,29 ships,Advanced,21 factories,Standard,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$14617 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,151889 km 2,http://blocgame.com/stats.php?id=55379,,,,Gandhi-like
Arina,Hakir,http://blocgame.com/alliancestats.php?allianceid=1644,143k active personnel,27 ships,Almost Modern,6 factories,Elite,last online 5 hours ago,rankings.php?subregion=ama,Inter/pol/,$14608 million,alliancestats.php?allianceid=1644,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,33220 km 2,http://blocgame.com/stats.php?id=54480,,,,Angelic
Utopia,Ozymandias,http://blocgame.com/alliancestats.php?allianceid=1393,957k active personnel,65 ships,Advanced,41 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$14563 million,alliancestats.php?allianceid=1393,Arabia,,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,307999 km 2,http://blocgame.com/stats.php?id=40759,,,,Gandhi-like
