country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,reactor,uranium
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,70 ships,Persian Gulf War surplus,15 factories,Elite,last online 19 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26532 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,272k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 1 hours ago,rankings.php?subregion=car,The Federal Colonies,$26132 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,390 Mbbl,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,270k active personnel,55 ships,Advanced,16 factories,Good,last online 4 hours ago,rankings.php?subregion=egy,BAMF,$25514 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,698k active personnel,84 ships,Advanced,40 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$25350 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,383 Mbbl,,4 Tons
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,19 factories,Standard,last online 26 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$24474 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,,3 Tons
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,83 ships,Persian Gulf War surplus,15 factories,Elite,last online 22 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23819 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,15%,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,293k active personnel,44 ships,Advanced,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=chi,BAMF,$23883 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,412 Mbbl,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,446k active personnel,61 ships,Advanced,18 factories,Elite,last online 12 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23730 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$23207 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,239k active personnel,54 ships,Advanced,15 factories,Good,last online 5 hours ago,rankings.php?subregion=ind,The Federal Colonies,$22489 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,24 factories,Good,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$22255 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,493 Mbbl,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,239k active personnel,41 ships,Advanced,11 factories,Elite,last online 9 hours ago,rankings.php?subregion=mex,The Federal Colonies,$22245 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,233 Mbbl,45%,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,115k active personnel,45 ships,Almost Modern,8 factories,Standard,last online 24 hours ago,rankings.php?subregion=car,The Federal Colonies,$22127 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,534k active personnel,51 ships,Persian Gulf War surplus,19 factories,Standard,online now,rankings.php?subregion=con,Brotherhood of Zion,$21650 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,273k active personnel,51 ships,Almost Modern,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,The High Council,$21402 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,,1 Tons
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,19 factories,Good,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$21377 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,8 factories,Elite,last online 22 hours ago,rankings.php?subregion=pac,The Federal Colonies,$21265 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,5%,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,62 ships,Advanced,19 factories,Elite,last online 3 hours ago,rankings.php?subregion=ama,BAMF,$20878 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 21 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20894 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,29k active personnel,0 ships,Advanced,13 factories,Good,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,$20184 million,alliancestats.php?allianceid=1401,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,299k active personnel,51 ships,Persian Gulf War surplus,16 factories,Standard,last online 15 hours ago,rankings.php?subregion=sub,BAMF,$20057 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,14 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$20042 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,293k active personnel,12 ships,Advanced,14 factories,Standard,last online 8 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$19868 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,3620 Mbbl,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,339k active personnel,35 ships,Persian Gulf War surplus,19 factories,Standard,last online 19 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19516 million,alliancestats.php?allianceid=1580,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,1475 Mbbl,,1 Tons
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,185k active personnel,31 ships,Persian Gulf War surplus,10 factories,Good,last online 7 hours ago,rankings.php?subregion=ama,BAMF,$19428 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,498k active personnel,18 ships,Advanced,22 factories,Good,last online 5 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$19234 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,169 Mbbl,,1 Tons
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,372k active personnel,55 ships,Advanced,15 factories,Standard,last online 18 hours ago,rankings.php?subregion=per,Inter/pol/,$18665 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,3521 Mbbl,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,244k active personnel,51 ships,Advanced,17 factories,Elite,last online 44 hours ago,rankings.php?subregion=ara,BAMF,$18276 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,93895 km 2,http://blocgame.com/stats.php?id=53748,,,4 Tons
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,1103k active personnel,71 ships,Advanced,22 factories,Elite,last online 3 hours ago,rankings.php?subregion=egy,SPQR,$17717 million,alliancestats.php?allianceid=1835,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,77944 km 2,http://blocgame.com/stats.php?id=49868,2146 Mbbl,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,35 ships,Persian Gulf War surplus,11 factories,Elite,last online 16 hours ago,rankings.php?subregion=mes,BAMF,$18100 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,1379 Mbbl,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,137k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,The Federal Colonies,$17977 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,564 Mbbl,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,53 ships,Persian Gulf War surplus,10 factories,Elite,last online 33 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17776 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,233k active personnel,43 ships,Advanced,20 factories,Standard,last online 1 hours ago,rankings.php?subregion=waf,The High Council,$17824 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
Potatoland,ThePotatoGuy,http://blocgame.com/alliancestats.php?allianceid=1382,189k active personnel,39 ships,Almost Modern,10 factories,Elite,last online 16 hours ago,rankings.php?subregion=car,Non-Aligned Movement,$17719 million,alliancestats.php?allianceid=1382,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45507 km 2,http://blocgame.com/stats.php?id=53696,,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,62 ships,Persian Gulf War surplus,14 factories,Standard,last online 20 hours ago,rankings.php?subregion=per,The Federal Colonies,$17569 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,,,2 Tons
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,41 ships,Persian Gulf War surplus,9 factories,Elite,last online 19 hours ago,rankings.php?subregion=ara,BAMF,$17514 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,64 ships,Persian Gulf War surplus,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,BAMF,$17456 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,32 ships,Almost Modern,14 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17187 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,28 ships,Persian Gulf War surplus,13 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,BAMF,$17173 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,151k active personnel,54 ships,Persian Gulf War surplus,5 factories,Elite,last online 148 hours ago,rankings.php?subregion=con,BAMF,$16947 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,41581 km 2,http://blocgame.com/stats.php?id=40443,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,335k active personnel,52 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16948 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63487 km 2,http://blocgame.com/stats.php?id=7511,354 Mbbl,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,185k active personnel,31 ships,Almost Modern,11 factories,Elite,last online 40 hours ago,rankings.php?subregion=car,Wreckage brothers,$16773 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,55959 km 2,http://blocgame.com/stats.php?id=40242,,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,588k active personnel,78 ships,Advanced,15 factories,Good,last online 1 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16748 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,930 Mbbl,,16 Tons
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,227k active personnel,44 ships,Persian Gulf War surplus,10 factories,Poor,last online 84 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$16630 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,64978 km 2,http://blocgame.com/stats.php?id=52906,,,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,16 ships,Persian Gulf War surplus,8 factories,Standard,last online 34 hours ago,rankings.php?subregion=ara,BAMF,$16348 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,44239 km 2,http://blocgame.com/stats.php?id=39037,,,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,51 ships,Advanced,17 factories,Elite,last online 5 hours ago,rankings.php?subregion=ara,BAMF,$16217 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,190k active personnel,25 ships,Persian Gulf War surplus,8 factories,Good,last online 4 hours ago,rankings.php?subregion=eaf,Inter/pol/,$16171 million,alliancestats.php?allianceid=1644,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,35402 km 2,http://blocgame.com/stats.php?id=49249,,,1 Tons
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,40 ships,Persian Gulf War surplus,6 factories,Good,last online 12 hours ago,rankings.php?subregion=atl,BAMF,$15957 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,5%,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,241k active personnel,52 ships,Persian Gulf War surplus,13 factories,Elite,last online 14 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15792 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,258k active personnel,41 ships,Persian Gulf War surplus,11 factories,Elite,online now,rankings.php?subregion=atl,Brotherhood of Zion,$15754 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,3659 Mbbl,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,279k active personnel,52 ships,Persian Gulf War surplus,11 factories,Elite,last online 10 hours ago,rankings.php?subregion=car,SPQR,$15377 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,224k active personnel,28 ships,Persian Gulf War surplus,10 factories,Good,online now,rankings.php?subregion=pac,BAMF,$15403 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,40 ships,Almost Modern,8 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15384 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,326 Mbbl,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,264k active personnel,30 ships,Persian Gulf War surplus,9 factories,Standard,last online 6 hours ago,rankings.php?subregion=chi,Wreckage brothers,$15277 million,alliancestats.php?allianceid=1599,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,329k active personnel,68 ships,Advanced,14 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15234 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41039 km 2,http://blocgame.com/stats.php?id=52844,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,270k active personnel,34 ships,Persian Gulf War surplus,11 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,The High Council,$15213 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,35%,1 Tons
Pompeii,Lykos,http://blocgame.com/alliancestats.php?allianceid=1835,352k active personnel,4 ships,Advanced,10 factories,Good,last online 2 hours ago,rankings.php?subregion=per,SPQR,$15192 million,alliancestats.php?allianceid=1835,Persia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=per,44412 km 2,http://blocgame.com/stats.php?id=39021,5153 Mbbl,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,440k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,online now,rankings.php?subregion=ind,The High Council,$14889 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,63676 km 2,http://blocgame.com/stats.php?id=40238,,,4 Tons
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,203k active personnel,51 ships,Persian Gulf War surplus,10 factories,Elite,last online 53 hours ago,rankings.php?subregion=per,Inter/pol/,$15128 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,20 ships,Persian Gulf War surplus,14 factories,Good,last online 8 hours ago,rankings.php?subregion=ara,BAMF,$14788 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,3365 Mbbl,,2 Tons
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,88k active personnel,1 ships,Almost Modern,3 factories,Elite,last online 71 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14717 million,alliancestats.php?allianceid=1568,China,Untapped,Large,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,261k active personnel,49 ships,Persian Gulf War surplus,17 factories,Standard,online now,rankings.php?subregion=chi,Brotherhood of Nod,$14690 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,,
