country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 23 hours ago,rankings.php?subregion=car,The Federal Colonies,$26581 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,382 Mbbl,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,275k active personnel,56 ships,Advanced,Gandhi-like,16 factories,Elite,last online 5 hours ago,rankings.php?subregion=egy,BAMF,$26058 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,699k active personnel,84 ships,Advanced,Gandhi-like,40 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$25985 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,343 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,Gandhi-like,19 factories,Poor,last online 78 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$25076 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,7k active personnel,37 ships,Almost Modern,Questionable,9 factories,Good,last online 107 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$24705 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,21675 km 2,http://blocgame.com/stats.php?id=40233,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,27 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$23642 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,85 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 21 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23349 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,15%
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,416k active personnel,61 ships,Advanced,Nice,19 factories,Good,last online 19 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23084 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,259k active personnel,57 ships,Advanced,Gandhi-like,15 factories,Good,last online 11 hours ago,rankings.php?subregion=ind,The Federal Colonies,$23032 million,alliancestats.php?allianceid=1401,East Indies,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,43 ships,Advanced,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=mex,The Federal Colonies,$22650 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,177 Mbbl,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,131k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Standard,last online 20 hours ago,rankings.php?subregion=car,The Federal Colonies,$22620 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$22307 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,445 Mbbl,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$22070 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Good,last online 21 hours ago,rankings.php?subregion=pac,The Federal Colonies,$21793 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,,5%
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,243k active personnel,51 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,The High Council,$21472 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,405k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Standard,last online 2 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$21056 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,34k active personnel,0 ships,Advanced,Gandhi-like,13 factories,Elite,last online 46 hours ago,rankings.php?subregion=car,The Federal Colonies,$20880 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,62 ships,Advanced,Gandhi-like,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,BAMF,$20660 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,Angelic,14 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,BAMF,$20467 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,314k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,17 factories,Elite,last online 12 hours ago,rankings.php?subregion=sub,BAMF,$20444 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,310k active personnel,12 ships,Advanced,Gandhi-like,14 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$20245 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,3020 Mbbl,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,359k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 30 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19919 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,1 Tons,603 Mbbl,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,193k active personnel,33 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 6 hours ago,rankings.php?subregion=ama,BAMF,$19896 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,513k active personnel,18 ships,Advanced,Gandhi-like,23 factories,Elite,last online 3 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$19547 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,4380 Mbbl,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,554k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 17 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$18940 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,917k active personnel,75 ships,Advanced,Good,26 factories,Elite,online now,rankings.php?subregion=egy,Brotherhood of Zion,$18787 million,alliancestats.php?allianceid=1568,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,29 Tons,4571 Mbbl,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,248k active personnel,52 ships,Advanced,Questionable,19 factories,Elite,last online 15 hours ago,rankings.php?subregion=ara,BAMF,$18772 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,94945 km 2,http://blocgame.com/stats.php?id=53748,4 Tons,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,382k active personnel,55 ships,Advanced,Gandhi-like,15 factories,Good,last online 26 hours ago,rankings.php?subregion=per,Inter/pol/,$18771 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,2993 Mbbl,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,114k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 5 hours ago,rankings.php?subregion=per,The Federal Colonies,$18561 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,,348 Mbbl,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,241k active personnel,48 ships,Advanced,Angelic,20 factories,Poor,last online 6 hours ago,rankings.php?subregion=waf,The High Council,$18537 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,39 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 5 hours ago,rankings.php?subregion=mes,BAMF,$18419 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,,1235 Mbbl,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,64 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 20 hours ago,rankings.php?subregion=per,The Federal Colonies,$18148 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,2 Tons,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 69 hours ago,rankings.php?subregion=ara,BAMF,$17994 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,54 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17932 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,65 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$17747 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,34 ships,Almost Modern,Gandhi-like,14 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17624 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$17621 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,345k active personnel,53 ships,Advanced,Gandhi-like,15 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17252 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63843 km 2,http://blocgame.com/stats.php?id=7511,,3051 Mbbl,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,576k active personnel,80 ships,Advanced,Angelic,15 factories,Good,last online 3 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16537 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122908 km 2,http://blocgame.com/stats.php?id=52362,16 Tons,1266 Mbbl,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,6 factories,Good,online now,rankings.php?subregion=atl,BAMF,$16389 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,,5%
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,241k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,Wreckage brothers,$16264 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,258k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 21 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16074 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,,3259 Mbbl,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,BAMF,$16073 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,230k active personnel,41 ships,Almost Modern,Gandhi-like,8 factories,Elite,last online 11 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15733 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,310 Mbbl,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,200k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 9 hours ago,rankings.php?subregion=ara,BAMF,$15712 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,43797 km 2,http://blocgame.com/stats.php?id=39037,,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,232k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Standard,last online 12 hours ago,rankings.php?subregion=pac,BAMF,$15703 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,233k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=per,Inter/pol/,$15550 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,289k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 9 hours ago,rankings.php?subregion=car,SPQR,$15497 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,318k active personnel,68 ships,Advanced,Gandhi-like,14 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15341 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41234 km 2,http://blocgame.com/stats.php?id=52844,1 Tons,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,20 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Standard,last online 4 hours ago,rankings.php?subregion=ara,BAMF,$15268 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,2 Tons,3165 Mbbl,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,263k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Standard,last online 4 hours ago,rankings.php?subregion=chi,Wreckage brothers,$15264 million,alliancestats.php?allianceid=1599,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,289k active personnel,50 ships,Persian Gulf War surplus,Normal,17 factories,Standard,online now,rankings.php?subregion=chi,Brotherhood of Nod,$15180 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,168k active personnel,31 ships,Almost Modern,Nice,11 factories,Good,last online 24 hours ago,rankings.php?subregion=car,Wreckage brothers,$15175 million,alliancestats.php?allianceid=1599,Caribbean,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,250k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,The High Council,$15049 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,,35%
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,158k active personnel,15 ships,Persian Gulf War surplus,Gandhi-like,5 factories,Standard,last online 6 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14798 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,38k active personnel,25 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 99 hours ago,rankings.php?subregion=eaf,Inter/pol/,$14722 million,alliancestats.php?allianceid=1644,East Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,34352 km 2,http://blocgame.com/stats.php?id=49249,1 Tons,,
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,38k active personnel,1 ships,Almost Modern,Questionable,3 factories,Good,last online 165 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14715 million,alliancestats.php?allianceid=1568,China,Untapped,Large,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,,
Bourbon Island,Gypsy Danger,http://blocgame.com/alliancestats.php?allianceid=1568,256k active personnel,9 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 34 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$14568 million,alliancestats.php?allianceid=1568,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,34351 km 2,http://blocgame.com/stats.php?id=41247,,2460 Mbbl,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,31 ships,Almost Modern,Nice,8 factories,Elite,last online 11 hours ago,rankings.php?subregion=car,The Federal Colonies,$14464 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,,
