country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,256k active personnel,53 ships,Advanced,16 factories,Elite,last online 12 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$22156 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,224k active personnel,64 ships,Persian Gulf War surplus,14 factories,Good,last online 7 hours ago,rankings.php?subregion=car,The Federal Colonies,$22078 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,458 Mbbl,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,98k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$21972 million,alliancestats.php?allianceid=1393,Southern Africa,,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,52 ships,Persian Gulf War surplus,15 factories,Elite,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$21877 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,430k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$21833 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,176k active personnel,60 ships,Persian Gulf War surplus,14 factories,Elite,last online 18 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21302 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,13 factories,Elite,last online 31 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21226 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,230k active personnel,41 ships,Persian Gulf War surplus,15 factories,Good,online now,rankings.php?subregion=egy,BAMF,$21057 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,218k active personnel,51 ships,Almost Modern,10 factories,Elite,online now,rankings.php?subregion=ama,The High Council,$20936 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,1 Tons
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,197k active personnel,73 ships,Almost Modern,14 factories,Elite,last online 5 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$20769 million,alliancestats.php?allianceid=1568,West Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,20 Mbbl,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,39 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$20684 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,9699 Mbbl,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,289k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,last online 19 hours ago,rankings.php?subregion=sub,BAMF,$20413 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,228 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,31 ships,Advanced,18 factories,Good,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$20255 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,3 Tons
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,196k active personnel,28 ships,Advanced,12 factories,Elite,last online 6 hours ago,rankings.php?subregion=chi,BAMF,$20182 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27793 km 2,http://blocgame.com/stats.php?id=46030,548 Mbbl,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,347k active personnel,51 ships,Advanced,17 factories,Poor,last online 10 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20106 million,alliancestats.php?allianceid=1568,Congo,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,433k active personnel,13 ships,Persian Gulf War surplus,19 factories,Elite,last online 10 hours ago,rankings.php?subregion=chi,BAMF,$19645 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,249k active personnel,46 ships,Persian Gulf War surplus,11 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$19576 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,20 ships,Persian Gulf War surplus,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$19598 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,191 Mbbl,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,684k active personnel,73 ships,Advanced,35 factories,Standard,last online 9 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$19416 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,117925 km 2,http://blocgame.com/stats.php?id=47945,353 Mbbl,4 Tons
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,51 ships,Advanced,12 factories,Standard,last online 6 hours ago,rankings.php?subregion=ind,The Federal Colonies,$18927 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,25 ships,Advanced,10 factories,Elite,last online 2 hours ago,rankings.php?subregion=mex,The Federal Colonies,$18517 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,1 Tons
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,97k active personnel,40 ships,Almost Modern,8 factories,Elite,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,$17867 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,102k active personnel,11 ships,Advanced,5 factories,Elite,last online 17 hours ago,rankings.php?subregion=pac,The Federal Colonies,$17484 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1835,180k active personnel,51 ships,Advanced,19 factories,Good,last online 1 hours ago,rankings.php?subregion=waf,Roman Republic,$16531 million,alliancestats.php?allianceid=1835,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,438k active personnel,18 ships,Persian Gulf War surplus,19 factories,Elite,last online 10 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16573 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,4043 Mbbl,1 Tons
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,315k active personnel,65 ships,Advanced,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16374 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,1660 Mbbl,27 Tons
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=1580,291k active personnel,45 ships,Persian Gulf War surplus,12 factories,Elite,last online 27 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$16211 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,61438 km 2,http://blocgame.com/stats.php?id=35958,,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,246k active personnel,5 ships,Almost Modern,15 factories,Standard,last online 4 hours ago,rankings.php?subregion=chi,BAMF,$16130 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,124 Mbbl,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,51 ships,Persian Gulf War surplus,13 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$15975 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,
Death1812,Death1812,http://blocgame.com/alliancestats.php?allianceid=1576,9k active personnel,35 ships,Persian Gulf War surplus,9 factories,Standard,last online 122 hours ago,rankings.php?subregion=con,The Last Phoenix,$15969 million,alliancestats.php?allianceid=1576,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,27918 km 2,http://blocgame.com/stats.php?id=50027,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,185k active personnel,22 ships,Persian Gulf War surplus,10 factories,Elite,last online 11 hours ago,rankings.php?subregion=mes,BAMF,$15872 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24459 km 2,http://blocgame.com/stats.php?id=49652,2603 Mbbl,1 Tons
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,149k active personnel,20 ships,Persian Gulf War surplus,8 factories,Good,last online 14 hours ago,rankings.php?subregion=ama,BAMF,$15788 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,0 ships,Persian Gulf War surplus,13 factories,Good,last online 26 hours ago,rankings.php?subregion=car,The Federal Colonies,$15720 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,46443 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,219k active personnel,46 ships,Almost Modern,9 factories,Elite,last online 12 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$15642 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,248k active personnel,47 ships,Persian Gulf War surplus,13 factories,Good,last online 22 hours ago,rankings.php?subregion=ara,BAMF,$14978 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,93110 km 2,http://blocgame.com/stats.php?id=53748,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,259k active personnel,51 ships,Persian Gulf War surplus,10 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,The Federal Colonies,$14856 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,2400 Mbbl,1 Tons
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,275k active personnel,42 ships,Persian Gulf War surplus,14 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$14456 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63487 km 2,http://blocgame.com/stats.php?id=7511,3025 Mbbl,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,8k active personnel,21 ships,Persian Gulf War surplus,15 factories,Good,last online 4 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$14397 million,alliancestats.php?allianceid=1580,Persia,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,2037 Mbbl,1 Tons
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,137k active personnel,47 ships,Persian Gulf War surplus,5 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,BAMF,$14388 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,43180 km 2,http://blocgame.com/stats.php?id=40443,,1 Tons
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,191k active personnel,10 ships,Persian Gulf War surplus,8 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,BAMF,$14196 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,44239 km 2,http://blocgame.com/stats.php?id=39037,,
Bih,Fidel Baneo,http://blocgame.com/alliancestats.php?allianceid=1599,314k active personnel,34 ships,Persian Gulf War surplus,12 factories,Good,online now,rankings.php?subregion=mex,Wreckage brothers,$14187 million,alliancestats.php?allianceid=1599,Mesoamerica,,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,98663 km 2,http://blocgame.com/stats.php?id=53791,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,214k active personnel,38 ships,Persian Gulf War surplus,15 factories,Standard,last online 7 hours ago,rankings.php?subregion=ind,The High Council,$14132 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,59667 km 2,http://blocgame.com/stats.php?id=40238,,3 Tons
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,202k active personnel,29 ships,Persian Gulf War surplus,10 factories,Good,last online 59 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$14076 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,64978 km 2,http://blocgame.com/stats.php?id=52906,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,268k active personnel,40 ships,Advanced,13 factories,Poor,online now,rankings.php?subregion=ara,Wreckage brothers,$13979 million,alliancestats.php?allianceid=1599,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,40091 km 2,http://blocgame.com/stats.php?id=52844,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,83k active personnel,22 ships,Persian Gulf War surplus,7 factories,Elite,last online 4 hours ago,rankings.php?subregion=eaf,Inter/pol/,$13977 million,alliancestats.php?allianceid=1644,East Africa,,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,35402 km 2,http://blocgame.com/stats.php?id=49249,,
Potatoland,ThePotatoGuy,http://blocgame.com/alliancestats.php?allianceid=1382,189k active personnel,32 ships,Almost Modern,10 factories,Elite,last online 10 hours ago,rankings.php?subregion=car,Non-Aligned Movement,$13957 million,alliancestats.php?allianceid=1382,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45507 km 2,http://blocgame.com/stats.php?id=53696,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,237k active personnel,12 ships,Persian Gulf War surplus,11 factories,Standard,last online 10 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$13777 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,57655 km 2,http://blocgame.com/stats.php?id=56860,3076 Mbbl,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,49 ships,Persian Gulf War surplus,9 factories,Elite,last online 5 hours ago,rankings.php?subregion=car,BAMF,$13752 million,alliancestats.php?allianceid=1393,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,319k active personnel,37 ships,Persian Gulf War surplus,15 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$13545 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85502 km 2,http://blocgame.com/stats.php?id=43351,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,88k active personnel,26 ships,Persian Gulf War surplus,8 factories,Elite,last online 18 hours ago,rankings.php?subregion=ara,BAMF,$13542 million,alliancestats.php?allianceid=1393,Arabia,,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,28 ships,Almost Modern,10 factories,Standard,last online 8 hours ago,rankings.php?subregion=pac,BAMF,$13451 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,179k active personnel,20 ships,Almost Modern,8 factories,Elite,last online 18 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$13445 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,
Kersumsos,Kersumsos,http://blocgame.com/alliancestats.php?allianceid=1393,287k active personnel,55 ships,Almost Modern,16 factories,Poor,last online 4 hours ago,rankings.php?subregion=chi,BAMF,$13170 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,92823 km 2,http://blocgame.com/stats.php?id=46317,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,173k active personnel,26 ships,Advanced,14 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,Inter/pol/,$13222 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,83239 km 2,http://blocgame.com/stats.php?id=54220,638 Mbbl,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,194k active personnel,12 ships,Advanced,8 factories,Elite,last online 5 hours ago,rankings.php?subregion=mes,The Federal Colonies,$13159 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,23 ships,Persian Gulf War surplus,6 factories,Good,last online 12 hours ago,rankings.php?subregion=atl,BAMF,$13049 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,31052 km 2,http://blocgame.com/stats.php?id=2570,,
Burlap,Stan Flightplan,http://blocgame.com/alliancestats.php?allianceid=1393,119k active personnel,19 ships,Almost Modern,5 factories,Elite,last online 13 hours ago,rankings.php?subregion=sub,BAMF,$13017 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,22699 km 2,http://blocgame.com/stats.php?id=54579,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,164k active personnel,51 ships,Persian Gulf War surplus,11 factories,Good,last online 15 hours ago,rankings.php?subregion=per,The Federal Colonies,$13059 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,,
dane,josen,http://blocgame.com/alliancestats.php?allianceid=1401,179k active personnel,52 ships,Almost Modern,8 factories,Elite,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,$12940 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,37795 km 2,http://blocgame.com/stats.php?id=45877,,
Gandoria,zoneguy22,http://blocgame.com/alliancestats.php?allianceid=1568,188k active personnel,32 ships,Persian Gulf War surplus,5 factories,Elite,last online 54 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$12878 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,19833 km 2,http://blocgame.com/stats.php?id=50771,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,332k active personnel,36 ships,Almost Modern,16 factories,Standard,online now,rankings.php?subregion=chi,Brotherhood of Nod,$12890 million,alliancestats.php?allianceid=1580,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,52 ships,Almost Modern,9 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$12812 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74664 km 2,http://blocgame.com/stats.php?id=52349,,
