country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,34k active personnel,0 ships,Advanced,Gandhi-like,13 factories,Elite,last online 53 hours ago,rankings.php?subregion=car,The Federal Colonies,$20944 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,61 ships,Advanced,Gandhi-like,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$20633 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,Angelic,14 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$20522 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,314k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,17 factories,Elite,last online 20 hours ago,rankings.php?subregion=sub,BAMF,$20499 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,310k active personnel,12 ships,Advanced,Gandhi-like,14 factories,Elite,last online 10 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$20291 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,2945 Mbbl,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,359k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 37 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19925 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,1 Tons,494 Mbbl,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,193k active personnel,33 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=ama,BAMF,$19951 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,513k active personnel,18 ships,Advanced,Gandhi-like,23 factories,Elite,last online 10 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$19586 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,4278 Mbbl,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,554k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 24 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$18565 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,917k active personnel,75 ships,Advanced,Nice,26 factories,Elite,last online 7 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$18760 million,alliancestats.php?allianceid=1568,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,29 Tons,4488 Mbbl,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,247k active personnel,52 ships,Advanced,Questionable,19 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,BAMF,$18839 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,95288 km 2,http://blocgame.com/stats.php?id=53748,4 Tons,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,386k active personnel,55 ships,Advanced,Gandhi-like,15 factories,Good,last online 2 hours ago,rankings.php?subregion=per,Inter/pol/,$18773 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,2927 Mbbl,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,114k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,The Federal Colonies,$18637 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,,321 Mbbl,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,241k active personnel,48 ships,Advanced,Angelic,20 factories,Poor,last online 13 hours ago,rankings.php?subregion=waf,The High Council,$18623 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,39 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=mes,BAMF,$18459 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,,1217 Mbbl,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,64 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 27 hours ago,rankings.php?subregion=per,The Federal Colonies,$18221 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,2 Tons,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,BAMF,$18054 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,54 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 20 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17956 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,65 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,BAMF,$17784 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,34 ships,Almost Modern,Gandhi-like,14 factories,Elite,last online 11 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17679 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Good,online now,rankings.php?subregion=chi,BAMF,$17677 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,345k active personnel,53 ships,Advanced,Gandhi-like,15 factories,Elite,last online 13 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17284 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63843 km 2,http://blocgame.com/stats.php?id=7511,,3011 Mbbl,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,576k active personnel,80 ships,Advanced,Gandhi-like,15 factories,Good,last online 10 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16477 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122908 km 2,http://blocgame.com/stats.php?id=52362,16 Tons,1066 Mbbl,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,6 factories,Good,last online 7 hours ago,rankings.php?subregion=atl,BAMF,$16443 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,,5%
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,241k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,online now,rankings.php?subregion=ara,Wreckage brothers,$16323 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,268k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16109 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,,3209 Mbbl,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Elite,last online 11 hours ago,rankings.php?subregion=ara,BAMF,$16059 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,230k active personnel,41 ships,Almost Modern,Gandhi-like,8 factories,Elite,last online 18 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15760 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,308 Mbbl,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,200k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 16 hours ago,rankings.php?subregion=ara,BAMF,$15734 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,43797 km 2,http://blocgame.com/stats.php?id=39037,,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,232k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Standard,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$15742 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,233k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 15 hours ago,rankings.php?subregion=per,Inter/pol/,$15598 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,289k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,online now,rankings.php?subregion=car,SPQR,$15511 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,318k active personnel,68 ships,Advanced,Gandhi-like,14 factories,Good,last online 11 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15357 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41234 km 2,http://blocgame.com/stats.php?id=52844,1 Tons,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,20 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Standard,online now,rankings.php?subregion=ara,BAMF,$15328 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,2 Tons,3140 Mbbl,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,261k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Standard,online now,rankings.php?subregion=chi,Wreckage brothers,$15263 million,alliancestats.php?allianceid=1599,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,289k active personnel,50 ships,Persian Gulf War surplus,Normal,17 factories,Good,online now,rankings.php?subregion=chi,Brotherhood of Nod,$15241 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,168k active personnel,31 ships,Almost Modern,Angelic,11 factories,Good,last online 31 hours ago,rankings.php?subregion=car,Wreckage brothers,$15193 million,alliancestats.php?allianceid=1599,Caribbean,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,250k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 10 hours ago,rankings.php?subregion=chi,The High Council,$15026 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,,35%
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,158k active personnel,15 ships,Persian Gulf War surplus,Gandhi-like,5 factories,Poor,last online 13 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14819 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,16k active personnel,25 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 106 hours ago,rankings.php?subregion=eaf,Inter/pol/,$14744 million,alliancestats.php?allianceid=1644,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,34009 km 2,http://blocgame.com/stats.php?id=49249,1 Tons,,
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,9k active personnel,1 ships,Almost Modern,Normal,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14424 million,alliancestats.php?allianceid=1568,China,Near Depletion,None,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,,
Bourbon Island,Gypsy Danger,http://blocgame.com/alliancestats.php?allianceid=1568,256k active personnel,9 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$14566 million,alliancestats.php?allianceid=1568,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,34351 km 2,http://blocgame.com/stats.php?id=41247,,2394 Mbbl,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,31 ships,Almost Modern,Angelic,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,The Federal Colonies,$14503 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,,
