aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
35k active personnel,San Palomino,The Order,12k active personnel,,Parkonia,http://blocgame.com/news.php?page=2
45k active personnel,Nuketown,The High Council,14k active personnel,,The Abarat,http://blocgame.com/news.php?page=2
88k active personnel,Snusers,The Order,25k active personnel,Brotherhood of Nod,Canuckistan!!,http://blocgame.com/news.php?page=2
39k active personnel,Umpauna,The High Council,2k active personnel,,Swedenistan,http://blocgame.com/news.php?page=2
36k active personnel,Utea,The Order,1k active personnel,,GhostNation,http://blocgame.com/news.php?page=2
49k active personnel,Platypus Island,SPQR,16k active personnel,Farmington Brigade,Bendover,http://blocgame.com/news.php?page=2
21k active personnel,Sordidia,The Order,10k active personnel,,Krelmia,http://blocgame.com/news.php?page=2
39k active personnel,Cascoia,Brotherhood of Zion,11k active personnel,Brotherhood of Nod,Polandistan,http://blocgame.com/news.php?page=2
18k active personnel,the murloc,Followers of Guadian,8k active personnel,,CNL,http://blocgame.com/news.php?page=2
32k active personnel,QonoS,The High Council,26k active personnel,,Tuchankaa,http://blocgame.com/news.php?page=2
39k active personnel,Compost,The Order,13k active personnel,,Ascandavia,http://blocgame.com/news.php?page=2
19k active personnel,RadYugoslavija,The High Council,5k active personnel,,Teganu Castle,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
41k active personnel,Texastan,Interpol,9k active personnel,,kinabalu,http://blocgame.com/news.php?page=3
36k active personnel,USSR,The Order,32k active personnel,NOVA ASEAN,Capital letter,http://blocgame.com/news.php?page=3
27k active personnel,New Wadowice,Lithuanian Coalition,13k active personnel,,Chungy,http://blocgame.com/news.php?page=3
39k active personnel,Nerdia,Brotherhood of Nod,3k active personnel,Che Guevara League,Olivera,http://blocgame.com/news.php?page=3
34k active personnel,Argon,Interpol,16k active personnel,The Order,Jovian,http://blocgame.com/news.php?page=3
41k active personnel,Lovecraft,,2k active personnel,The Order,Dickbutt/pol/,http://blocgame.com/news.php?page=3
25k active personnel,BOOP,,34k active personnel,,Sannari,http://blocgame.com/news.php?page=3
7k active personnel,Hidin,,44k active personnel,Al-Qassam Brigades,shair,http://blocgame.com/news.php?page=3
19k active personnel,Oileum,The High Council,3k active personnel,,NousAllons,http://blocgame.com/news.php?page=3
38k active personnel,Oteco,Che Guevara League,5k active personnel,The Order,Casopia,http://blocgame.com/news.php?page=3
33k active personnel,Mingland,Brotherhood of Zion,12k active personnel,Vask Alliance,Vaska,http://blocgame.com/news.php?page=3
38k active personnel,Samsayum,,25k active personnel,NOVA ASEAN,Persona-Grata,http://blocgame.com/news.php?page=3
59k active personnel,Reim,The High Council,5k active personnel,,fotamorgana,http://blocgame.com/news.php?page=3
31k active personnel,Boomtown,The High Council,30k active personnel,,Raizar,http://blocgame.com/news.php?page=3
47k active personnel,Parit Sayang,,6k active personnel,,Tiny Island,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
57k active personnel,Octobia,The Federal Colonies,2k active personnel,,Baggs,http://blocgame.com/news.php?page=4
39k active personnel,South Uganda,Brotherhood of Zion,4k active personnel,/Pol/acks,North Nubia,http://blocgame.com/news.php?page=4
35k active personnel,Chongministan,The Order,6k active personnel,,Dirty Juice,http://blocgame.com/news.php?page=4
35k active personnel,Rhod3sia,Brotherhood of Zion,11k active personnel,African Socialism 2,Thair,http://blocgame.com/news.php?page=4
62k active personnel,Gulam,PIRATES,43k active personnel,The Order,Ambon,http://blocgame.com/news.php?page=4
58k active personnel,Derse Moon,The Order,2k active personnel,PIRATES,Tandak,http://blocgame.com/news.php?page=4
49k active personnel,Almania,Brotherhood of Nod,9k active personnel,,Ikeland,http://blocgame.com/news.php?page=4
43k active personnel,Utopiastan,The High Council,34k active personnel,Comintern,Emerzonland,http://blocgame.com/news.php?page=4
65k active personnel,Zuyazayuza,Brotherhood of Zion,9k active personnel,The High Council,Bloodied Stools,http://blocgame.com/news.php?page=4
47k active personnel,HiredGun,The Order,16k active personnel,The Order,Muscovy,http://blocgame.com/news.php?page=4
43k active personnel,Shitposters,The Order,53k active personnel,PIRATES,johoreansouth,http://blocgame.com/news.php?page=4
30k active personnel,Nueva Pilipinas,The High Council,16k active personnel,,Zalkanir,http://blocgame.com/news.php?page=4
42k active personnel,Much War,The Order,3k active personnel,,Harlostia,http://blocgame.com/news.php?page=4
30k active personnel,Parsistan,Al-Qassam Brigades,2k active personnel,,720instaswap,http://blocgame.com/news.php?page=4
59k active personnel,epf,The Federal Colonies,3k active personnel,,Malaysia Raya,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
38k active personnel,Uzbekistan.,Brotherhood of Nod,53k active personnel,The Khilafah,Middlewest,http://blocgame.com/news.php?page=5
44k active personnel,Milano,The High Council,24k active personnel,,Tetsunoshima,http://blocgame.com/news.php?page=5
48k active personnel,whitmanistan,The Order,6k active personnel,,Yugorossiya,http://blocgame.com/news.php?page=5
31k active personnel,Remote,,6k active personnel,,Toxicity,http://blocgame.com/news.php?page=5
37k active personnel,Ivalice,Interpol,2k active personnel,,Bosnistan,http://blocgame.com/news.php?page=5
20k active personnel,Addin-territory,PIRATES,2k active personnel,,Vorgorn,http://blocgame.com/news.php?page=5
38k active personnel,melayuraya,,11k active personnel,,BaniMelayu,http://blocgame.com/news.php?page=5
39k active personnel,Chrome,The High Council,7k active personnel,Lithuanian Coalition,Crusader State,http://blocgame.com/news.php?page=5
54k active personnel,Dess,The Order,9k active personnel,The Unknown,Tanda,http://blocgame.com/news.php?page=5
18k active personnel,NationalFreedom,Brotherhood of Nod,5k active personnel,Brotherhood of Zion,New Nederlands,http://blocgame.com/news.php?page=5
43k active personnel,Reality,The High Council,7k active personnel,,Elos,http://blocgame.com/news.php?page=5
62k active personnel,Ladina,Che Guevara League,62k active personnel,The Order,Kennethland,http://blocgame.com/news.php?page=5
59k active personnel,Markovia,The Federal Colonies,61k active personnel,PIRATES,Northmarch,http://blocgame.com/news.php?page=5
39k active personnel,Dirk-Dirkastan,The Order,12k active personnel,,Pavlik,http://blocgame.com/news.php?page=5
41k active personnel,Lemonstan,Brotherhood of Nod,23k active personnel,The Order,Pan-demo-nium,http://blocgame.com/news.php?page=5
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=6
39k active personnel,awanghitam,The High Council,5k active personnel,,Gorland,http://blocgame.com/news.php?page=6
25k active personnel,Brutish Empire,Comintern,4k active personnel,,Falk,http://blocgame.com/news.php?page=6
28k active personnel,Neu-Berlin,The Order,13k active personnel,,Jbmach3,http://blocgame.com/news.php?page=6
39k active personnel,Sector 6,The Order,22k active personnel,,Gerik,http://blocgame.com/news.php?page=6
48k active personnel,The Shitposters,The Order,2k active personnel,,1428,http://blocgame.com/news.php?page=6
24k active personnel,Cuttlefish,Interpol,25k active personnel,,Baffa,http://blocgame.com/news.php?page=6
32k active personnel,kodiang,The United Nations,9k active personnel,Comintern,United Pacific,http://blocgame.com/news.php?page=6
9k active personnel,Boukachkistan,,5k active personnel,,Islamic Nations,http://blocgame.com/news.php?page=6
20k active personnel,CubeHead,SPQR,1k active personnel,,Phoenesia,http://blocgame.com/news.php?page=6
10k active personnel,Borderia,The United Nations,18k active personnel,Brotherhood of Zion,Trump Towers,http://blocgame.com/news.php?page=6
25k active personnel,Keksimania,The Order,5k active personnel,,Aincrad,http://blocgame.com/news.php?page=6
18k active personnel,Trump Towers,Brotherhood of Zion,23k active personnel,The United Nations,New Armenia,http://blocgame.com/news.php?page=6
16k active personnel,kweensnkans,The Order,43k active personnel,PIRATES,RacRus,http://blocgame.com/news.php?page=6
19k active personnel,Thinkpad,The Order,1k active personnel,A House Divided,Waylo,http://blocgame.com/news.php?page=6
37k active personnel,bro dude,Brotherhood of Zion,21k active personnel,Al-Qassam Brigades,Sepidajistan,http://blocgame.com/news.php?page=6
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=7
32k active personnel,Irrelevant,The United Nations,23k active personnel,,OnePiece,http://blocgame.com/news.php?page=7
35k active personnel,Karat,The Federal Colonies,5k active personnel,,Sopalandia,http://blocgame.com/news.php?page=7
30k active personnel,BongoBongoBongo,The Order,54k active personnel,,Tarsonis,http://blocgame.com/news.php?page=7
54k active personnel,Hatmistan,Al-Qassam Brigades,37k active personnel,Brotherhood of Zion,bro dude,http://blocgame.com/news.php?page=7
20k active personnel,Ballz,,25k active personnel,,Gomp,http://blocgame.com/news.php?page=7
26k active personnel,Black Gold,The Order,0k active personnel,,Oilpotamia,http://blocgame.com/news.php?page=7
5k active personnel,Guadianstan,Followers of Guadian,35k active personnel,Brotherhood of Zion,South Park,http://blocgame.com/news.php?page=7
9k active personnel,Ketroyla,The Order,38k active personnel,PIRATES,Ghost Shark,http://blocgame.com/news.php?page=7
0k active personnel,WP Kuala Lumpur,The Federal Colonies,74k active personnel,The High Council,Pemakan Dunia,http://blocgame.com/news.php?page=7
43k active personnel,Iwo Jima,The Order,14k active personnel,,Masterton East,http://blocgame.com/news.php?page=7
26k active personnel,Black Widow,The Order,6k active personnel,,ARABOBIA,http://blocgame.com/news.php?page=7
69k active personnel,Empyrea,The Order,21k active personnel,,Best Istan,http://blocgame.com/news.php?page=7
9k active personnel,Sintra,Che Guevara League,40k active personnel,Lithuanian Coalition,Lewd Place,http://blocgame.com/news.php?page=7
39k active personnel,Rengit,PIRATES,11k active personnel,,Mogudishu,http://blocgame.com/news.php?page=7
50k active personnel,Baghdad Iraqi,The High Council,27k active personnel,Brotherhood of Nod,Skhimm,http://blocgame.com/news.php?page=7
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=8
33k active personnel,Cubania,The Order,33k active personnel,,Cartel,http://blocgame.com/news.php?page=8
27k active personnel,Skhimm,Brotherhood of Nod,20k active personnel,The High Council,One Star,http://blocgame.com/news.php?page=8
51k active personnel,Fapman,The Order,40k active personnel,,Infernistan,http://blocgame.com/news.php?page=8
7k active personnel,East Jakarta,,14k active personnel,,temasik,http://blocgame.com/news.php?page=8
8k active personnel,Iranzamin,,13k active personnel,,Wax - On,http://blocgame.com/news.php?page=8
10k active personnel,Krelmia,,19k active personnel,,Wooumo,http://blocgame.com/news.php?page=8
37k active personnel,Poundtown,Brotherhood of Zion,39k active personnel,PIRATES,Rengit,http://blocgame.com/news.php?page=8
2k active personnel,Nueva Occitania,The Order,20k active personnel,,morelia,http://blocgame.com/news.php?page=8
23k active personnel,Shamsi Empire,,18k active personnel,Brotherhood of Nod,reptil,http://blocgame.com/news.php?page=8
35k active personnel,Dank maymays,,9k active personnel,,Classic,http://blocgame.com/news.php?page=8
15k active personnel,Birdland,Brotherhood of Nod,6k active personnel,,Armados,http://blocgame.com/news.php?page=8
20k active personnel,Kukulala,The High Council,38k active personnel,Divine League,Swagvila,http://blocgame.com/news.php?page=8
16k active personnel,Djengling,Followers of Guadian,13k active personnel,The High Council,Sw�r�s,http://blocgame.com/news.php?page=8
10k active personnel,Greekrules,,6k active personnel,,Scart,http://blocgame.com/news.php?page=8
2k active personnel,Vorgorn,,14k active personnel,,Golden Circle,http://blocgame.com/news.php?page=8
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=9
41k active personnel,place in asia,The Order,9k active personnel,The Federal Colonies,Radimostan,http://blocgame.com/news.php?page=9
30k active personnel,Russica,A House Divided,25k active personnel,,Somewheresburg,http://blocgame.com/news.php?page=9
38k active personnel,Unspecifistan,,5k active personnel,,Monk-E,http://blocgame.com/news.php?page=9
16k active personnel,Jevgeniumland,,30k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=9
26k active personnel,Neue Preu�en,The Order,6k active personnel,,Gallifrey,http://blocgame.com/news.php?page=9
27k active personnel,Luskan,,10k active personnel,,The Silver Hand,http://blocgame.com/news.php?page=9
57k active personnel,Disnomica,The High Council,26k active personnel,The Order,kabdy,http://blocgame.com/news.php?page=9
29k active personnel,Planistan,Al-Qassam Brigades,23k active personnel,,Zejoria,http://blocgame.com/news.php?page=9
25k active personnel,Arsinoe,SPQR,15k active personnel,,Deveaux,http://blocgame.com/news.php?page=9
29k active personnel,Ptoria,The Khilafah,16k active personnel,,tardass,http://blocgame.com/news.php?page=9
8k active personnel,Allaah,,11k active personnel,,Atikana,http://blocgame.com/news.php?page=9
6k active personnel,Jemuan Setan,The High Council,31k active personnel,,Fongelesia,http://blocgame.com/news.php?page=9
17k active personnel,rikkistan,The Order,6k active personnel,,H�ggotopia,http://blocgame.com/news.php?page=9
23k active personnel,doubleswee,,7k active personnel,,pau,http://blocgame.com/news.php?page=9
17k active personnel,Amazonian Union,Brotherhood of Zion,15k active personnel,,Jarhead,http://blocgame.com/news.php?page=9
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=10
9k active personnel,Parsadox,TheAccountantRevenge,8k active personnel,,Spierto,http://blocgame.com/news.php?page=10
8k active personnel,Chistriania,The United Nations,3k active personnel,,El Janero,http://blocgame.com/news.php?page=10
24k active personnel,Greater Venice,,4k active personnel,,Jeff,http://blocgame.com/news.php?page=10
22k active personnel,Vrijstaat Congo,,3k active personnel,,Aleu,http://blocgame.com/news.php?page=10
30k active personnel,Llorxye,PIRATES,24k active personnel,Interpol,Slavostan,http://blocgame.com/news.php?page=10
37k active personnel,Huntubuntu,Freedom Legion,39k active personnel,Freedom Legion,UKOL,http://blocgame.com/news.php?page=10
29k active personnel,Spartan lsnd,Brotherhood of Nod,8k active personnel,,Galactic Reich,http://blocgame.com/news.php?page=10
9k active personnel,Classic,,28k active personnel,,Benelux,http://blocgame.com/news.php?page=10
27k active personnel,Eazur,,6k active personnel,,Kikongo,http://blocgame.com/news.php?page=10
2k active personnel,Darkplace,,39k active personnel,The High Council,Tamarlania,http://blocgame.com/news.php?page=10
34k active personnel,GGk ok,,2k active personnel,,Mesia,http://blocgame.com/news.php?page=10
8k active personnel,Jerai,,23k active personnel,Interpol,Freshwell,http://blocgame.com/news.php?page=10
