aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
54k active personnel,Baghdad Iraqi,The High Council,25k active personnel,PIRATES,District21,http://blocgame.com/news.php?page=5
42k active personnel,Subcarpathia,Divine League,26k active personnel,Al-Qassam Brigades,Hezstallah,http://blocgame.com/news.php?page=5
40k active personnel,HARDGAY♂,The Order,7k active personnel,,Gorgoroth,http://blocgame.com/news.php?page=5
59k active personnel,Nuketown,The High Council,23k active personnel,Brotherhood of Zion,bro dude,http://blocgame.com/news.php?page=5
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=6
18k active personnel,Panzer,The Order,3k active personnel,,Empire of China,http://blocgame.com/news.php?page=6
9k active personnel,Belac,The Federal Colonies,3k active personnel,,Nuevo Norte,http://blocgame.com/news.php?page=6
18k active personnel,Golden Woods,,18k active personnel,,Lothl�rien,http://blocgame.com/news.php?page=6
31k active personnel,Ahkazra,The Order,2k active personnel,,Booyakasha,http://blocgame.com/news.php?page=6
38k active personnel,Ketroyla,The Order,3k active personnel,,Calraidia,http://blocgame.com/news.php?page=6
51k active personnel,Johor,The Khilafah,40k active personnel,,\\\'Nam,http://blocgame.com/news.php?page=6
63k active personnel,Novi Sad,The High Council,30k active personnel,PIRATES,Pembunuh,http://blocgame.com/news.php?page=6
38k active personnel,Lyranistan,Brotherhood of Nod,8k active personnel,,Sandniggeristan,http://blocgame.com/news.php?page=6
54k active personnel,Persona-Grata,PIRATES,32k active personnel,Brotherhood of Nod,Parameswara,http://blocgame.com/news.php?page=6
60k active personnel,Veganism,,3k active personnel,,GhostNation,http://blocgame.com/news.php?page=6
12k active personnel,Pathos,,59k active personnel,Brotherhood of Zion,Whitey,http://blocgame.com/news.php?page=6
58k active personnel,Ultios,The Order,2k active personnel,PIRATES,Titiwangsa,http://blocgame.com/news.php?page=6
3k active personnel,Red Crazyguy,,36k active personnel,The Order,Viktoria,http://blocgame.com/news.php?page=6
58k active personnel,Dess,The Order,17k active personnel,,Japanesia,http://blocgame.com/news.php?page=6
53k active personnel,Djengling,Followers of Guadian,60k active personnel,The Federal Colonies,Falamata,http://blocgame.com/news.php?page=6
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=7
52k active personnel,Azhdahagate,Brotherhood of Nod,53k active personnel,PIRATES,Tanah Malaya,http://blocgame.com/news.php?page=7
10k active personnel,Haukinaria,The Order,16k active personnel,,Kenin,http://blocgame.com/news.php?page=7
25k active personnel,GayRights,Brotherhood of Nod,37k active personnel,SPQR,Ipoh,http://blocgame.com/news.php?page=7
23k active personnel,USSR,The Order,11k active personnel,,Vethuovania,http://blocgame.com/news.php?page=7
49k active personnel,Cascoia,Brotherhood of Zion,18k active personnel,,Smoking Bandit,http://blocgame.com/news.php?page=7
59k active personnel,Honduras,The High Council,21k active personnel,,Ronia,http://blocgame.com/news.php?page=7
51k active personnel,Aeter,The Order,3k active personnel,ISIS,Bantersciz,http://blocgame.com/news.php?page=7
50k active personnel,Myhouse,The United Nations,6k active personnel,Lithuanian Coalition,rio de la plata,http://blocgame.com/news.php?page=7
24k active personnel,Mingland,Brotherhood of Zion,22k active personnel,Lithuanian Coalition,S�l,http://blocgame.com/news.php?page=7
25k active personnel,Iraqghanistan,The Khilafah,33k active personnel,,Lobos,http://blocgame.com/news.php?page=7
56k active personnel,Deagle Nation!,Brotherhood of Nod,19k active personnel,,dingoland,http://blocgame.com/news.php?page=7
40k active personnel,The Hegemony,Interpol,60k active personnel,,Veganism,http://blocgame.com/news.php?page=7
38k active personnel,Much War,The Order,6k active personnel,The Khilafah,Whadjuk,http://blocgame.com/news.php?page=7
59k active personnel,Whitey,Brotherhood of Zion,35k active personnel,,DARFA,http://blocgame.com/news.php?page=7
40k active personnel,Curonia,The Order,20k active personnel,,Erpland,http://blocgame.com/news.php?page=7
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=8
33k active personnel,Tarsonis,,10k active personnel,,Top Hat,http://blocgame.com/news.php?page=8
44k active personnel,Ironforge,,26k active personnel,,SS-Amazonien,http://blocgame.com/news.php?page=8
37k active personnel,Chūya,Brotherhood of Zion,23k active personnel,,Dromund Kaas,http://blocgame.com/news.php?page=8
39k active personnel,Classia,Brotherhood of Zion,3k active personnel,The Order,Aminichina,http://blocgame.com/news.php?page=8
34k active personnel,Rudenia,Brotherhood of Zion,31k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=8
1k active personnel,Hidin,,37k active personnel,Al-Qassam Brigades,shair,http://blocgame.com/news.php?page=8
70k active personnel,Uzbekistan.,Brotherhood of Nod,18k active personnel,The Khilafah,Middlewest,http://blocgame.com/news.php?page=8
55k active personnel,Milano,The High Council,35k active personnel,,Tetsunoshima,http://blocgame.com/news.php?page=8
34k active personnel,Sector 6,The Order,2k active personnel,,Gerik,http://blocgame.com/news.php?page=8
9k active personnel,Boukachkistan,,5k active personnel,,Islamic Nations,http://blocgame.com/news.php?page=8
25k active personnel,Keksimania,,5k active personnel,,Aincrad,http://blocgame.com/news.php?page=8
20k active personnel,Irrelevant,The United Nations,31k active personnel,,OnePiece,http://blocgame.com/news.php?page=8
25k active personnel,Skhimm,Brotherhood of Nod,50k active personnel,The High Council,One Star,http://blocgame.com/news.php?page=8
7k active personnel,East Jakarta,,14k active personnel,,temasik,http://blocgame.com/news.php?page=8
16k active personnel,Jevgeniumland,,30k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=8
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=9
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=10
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=11
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=12
