country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=sub,The Order,8 Hundred Tons per month,1 Mbbl per month,$393 million,alliancestats.php?allianceid=2045,53 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,23865 km 2,http://blocgame.com/stats.php?id=389,
Pakyu,General Hamizan,http://blocgame.com/alliancestats.php?allianceid=2042,25k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Elite,online now,rankings.php?subregion=pac,Interpol,6 Hundred Tons per month,5 Mbbl per month,$392 million,alliancestats.php?allianceid=2042,382 Mbbl,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,23665 km 2,http://blocgame.com/stats.php?id=61656,
Smoking Bandit,RENTAKA,http://blocgame.com/alliancestats.php?allianceid=2044,29k active personnel,0 ships,Finest of the 19th century,Normal,None,Good,last online 3 hours ago,rankings.php?subregion=egy,Aseang MMP,4 Hundred Tons per month,6 Mbbl per month,$387 million,alliancestats.php?allianceid=2044,2719 Mbbl; 6 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,23500 km 2,http://blocgame.com/stats.php?id=60611,
Kangkong,MaslanJibby,http://blocgame.com/alliancestats.php?allianceid=2049,10k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,7 Hundred Tons per month,4 Mbbl per month,$387 million,alliancestats.php?allianceid=2049,243 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,23828 km 2,http://blocgame.com/stats.php?id=62468,
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,35k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 4 hours ago,rankings.php?subregion=egy,SPQR,2 Hundred Tons per month,5 Mbbl per month,$387 million,alliancestats.php?allianceid=2064,4548 Mbbl,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,23800 km 2,http://blocgame.com/stats.php?id=63053,
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=2039,20k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,7 Hundred Tons per month,3 Mbbl per month,$386 million,alliancestats.php?allianceid=2039,443 Mbbl; 3 Mbbl,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,23828 km 2,http://blocgame.com/stats.php?id=41073,
Nova Ikaki,Bisimbi,http://blocgame.com/alliancestats.php?allianceid=2049,34k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 3 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,3 Hundred Tons per month,4 Mbbl per month,$385 million,alliancestats.php?allianceid=2049,5513 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,23665 km 2,http://blocgame.com/stats.php?id=55911,
Ferma,President Jacobo Vincenzo,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,Finest of the 19th century,Good,None,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,11 Hundred Tons per month,,$385 million,alliancestats.php?allianceid=2048,178 Mbbl,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,23828 km 2,http://blocgame.com/stats.php?id=58784,
Jangkong,Bendahara H,http://blocgame.com/alliancestats.php?allianceid=2045,20k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=ind,The Order,7 Hundred Tons per month,5 Mbbl per month,$385 million,alliancestats.php?allianceid=2045,263 Mbbl; 5 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,23828 km 2,http://blocgame.com/stats.php?id=62287,
RadYugoslavija,Cobraaahhh1,http://blocgame.com/alliancestats.php?allianceid=2039,25k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=pac,The High Council,10 Hundred Tons per month,4 Mbbl per month,$385 million,alliancestats.php?allianceid=2039,185 Mbbl; 4 Mbbl,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,24028 km 2,http://blocgame.com/stats.php?id=62615,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,7 Hundred Tons per month,4 Mbbl per month,$384 million,alliancestats.php?allianceid=2049,2164 Mbbl; 4 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,24028 km 2,http://blocgame.com/stats.php?id=39070,
Uzbekistanstan,Shaikh Zayer,http://blocgame.com/alliancestats.php?allianceid=2039,30k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 6 hours ago,rankings.php?subregion=congo,The High Council,6 Hundred Tons per month,,$384 million,alliancestats.php?allianceid=2039,,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,23665 km 2,http://blocgame.com/stats.php?id=47207,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 7 hours ago,rankings.php?subregion=car,The Federal Colonies,7 Hundred Tons per month,2 Mbbl per month,$382 million,alliancestats.php?allianceid=2052,503 Mbbl; 2 Mbbl,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,23500 km 2,http://blocgame.com/stats.php?id=58369,
Gobi,Saint Gobi,http://blocgame.com/alliancestats.php?allianceid=2044,31k active personnel,0 ships,First World War surplus,Good,None,Good,online now,rankings.php?subregion=congo,Aseang MMP,6 Hundred Tons per month,2 Mbbl per month,$382 million,alliancestats.php?allianceid=2044,444 Mbbl,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,23665 km 2,http://blocgame.com/stats.php?id=61919,
liger,AdolfHilter,http://blocgame.com/alliancestats.php?allianceid=2039,15k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Elite,online now,rankings.php?subregion=sub,The High Council,5 Hundred Tons per month,5 Mbbl per month,$382 million,alliancestats.php?allianceid=2039,278 Mbbl,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,23665 km 2,http://blocgame.com/stats.php?id=62918,
Cubania,General Fidelis,,36k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,rankings.php?subregion=mex,,5 Hundred Tons per month,1 Mbbl per month,$381 million,,177 Mbbl; 1 Mbbl,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,23900 km 2,http://blocgame.com/stats.php?id=47349,1 Tons
Sovngarde,Farron47,http://blocgame.com/alliancestats.php?allianceid=2044,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 10 hours ago,rankings.php?subregion=ind,Aseang MMP,3 Hundred Tons per month,2 Mbbl per month,$381 million,alliancestats.php?allianceid=2044,162 Mbbl; 2 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,23665 km 2,http://blocgame.com/stats.php?id=62626,
Milano,Milanostrom,http://blocgame.com/alliancestats.php?allianceid=2044,32k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,online now,rankings.php?subregion=pac,Aseang MMP,4 Hundred Tons per month,,$381 million,alliancestats.php?allianceid=2044,,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,23663 km 2,http://blocgame.com/stats.php?id=63012,
Wafflonia,Stellarwaffle,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,Normal,None,Good,online now,rankings.php?subregion=egy,SPQR,3 Hundred Tons per month,6 Mbbl per month,$381 million,alliancestats.php?allianceid=2064,3788 Mbbl; 6 Mbbl,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,23828 km 2,http://blocgame.com/stats.php?id=63064,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=2042,20k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 1 hours ago,rankings.php?subregion=pac,Interpol,13 Hundred Tons per month,,$380 million,alliancestats.php?allianceid=2042,,Pacific Rim,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=pac,23083 km 2,http://blocgame.com/stats.php?id=54376,
Nuketown,Blobby78,http://blocgame.com/alliancestats.php?allianceid=2039,33k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 6 hours ago,rankings.php?subregion=egy,The High Council,1 Hundred Tons per month,1 Mbbl per month,$380 million,alliancestats.php?allianceid=2039,6038 Mbbl; 1 Mbbl,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,23665 km 2,http://blocgame.com/stats.php?id=59614,
Parit Sayang,Penghulu Seman,http://blocgame.com/alliancestats.php?allianceid=2044,39k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 9 hours ago,rankings.php?subregion=ind,Aseang MMP,11 Hundred Tons per month,5 Mbbl per month,$380 million,alliancestats.php?allianceid=2044,121 Mbbl; 5 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,23665 km 2,http://blocgame.com/stats.php?id=60573,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,33k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 5 hours ago,rankings.php?subregion=egy,Al-Qassam Brigades,5 Hundred Tons per month,2 Mbbl per month,$379 million,alliancestats.php?allianceid=2058,4911 Mbbl; 2 Mbbl,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,23665 km 2,http://blocgame.com/stats.php?id=52836,
PolandThePower,PolandThePower44,http://blocgame.com/alliancestats.php?allianceid=2049,29k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 10 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,4 Hundred Tons per month,2 Mbbl per month,$379 million,alliancestats.php?allianceid=2049,1757 Mbbl; 2 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,23267 km 2,http://blocgame.com/stats.php?id=58217,
Uzbekistan.,Ittin,http://blocgame.com/alliancestats.php?allianceid=2049,24k active personnel,0 ships,First World War surplus,Good,None,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,8 Hundred Tons per month,5 Mbbl per month,$379 million,alliancestats.php?allianceid=2049,2573 Mbbl; 5 Mbbl,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,24255 km 2,http://blocgame.com/stats.php?id=59590,
hokoo,ovaltine,http://blocgame.com/alliancestats.php?allianceid=2049,34k active personnel,0 ships,Finest of the 19th century,Normal,None,Elite,online now,rankings.php?subregion=ara,Brotherhood of Nod,5 Hundred Tons per month,10 Mbbl per month,$379 million,alliancestats.php?allianceid=2049,3163 Mbbl; 10 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,23828 km 2,http://blocgame.com/stats.php?id=61111,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=pac,Interpol,5 Hundred Tons per month,1 Mbbl per month,$378 million,alliancestats.php?allianceid=2042,212 Mbbl; 1 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,23665 km 2,http://blocgame.com/stats.php?id=39065,
Texastan,Rebel Lord,http://blocgame.com/alliancestats.php?allianceid=2042,37k active personnel,0 ships,First World War surplus,Good,None,Good,last online 2 hours ago,rankings.php?subregion=mes,Interpol,6 Hundred Tons per month,8 Mbbl per month,$378 million,alliancestats.php?allianceid=2042,3050 Mbbl; 8 Mbbl,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,23828 km 2,http://blocgame.com/stats.php?id=58149,
Shining Sun,Wladyslaw Gomulka,http://blocgame.com/alliancestats.php?allianceid=2041,33k active personnel,0 ships,First World War surplus,Good,None,Elite,online now,rankings.php?subregion=saf,Lithuanian Coalition,6 Hundred Tons per month,2 Mbbl per month,$378 million,alliancestats.php?allianceid=2041,251 Mbbl,Southern Africa,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=saf,23828 km 2,http://blocgame.com/stats.php?id=61511,
Ceannesburg,theorange0,http://blocgame.com/alliancestats.php?allianceid=2048,36k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 2 hours ago,rankings.php?subregion=mex,Brotherhood of Zion,5 Hundred Tons per month,5 Mbbl per month,$377 million,alliancestats.php?allianceid=2048,169 Mbbl,Mesoamerica,Untapped,Small,http://blocgame.com/rankings.php?subregion=mex,23765 km 2,http://blocgame.com/stats.php?id=56500,
Cyrodill,Tihomir,http://blocgame.com/alliancestats.php?allianceid=2045,42k active personnel,0 ships,Finest of the 19th century,Normal,None,Good,last online 6 hours ago,rankings.php?subregion=mes,The Order,6 Hundred Tons per month,6 Mbbl per month,$376 million,alliancestats.php?allianceid=2045,2452 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,23033 km 2,http://blocgame.com/stats.php?id=53759,
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=2039,15k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 1 hours ago,rankings.php?subregion=sea,The High Council,7 Hundred Tons per month,3 Mbbl per month,$376 million,alliancestats.php?allianceid=2039,410 Mbbl,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,23865 km 2,http://blocgame.com/stats.php?id=60796,
Bruce Man,Bat Wayn,,35k active personnel,0 ships,Finest of the 19th century,Good,None,Good,online now,rankings.php?subregion=ara,,4 Hundred Tons per month,4 Mbbl per month,$374 million,,3145 Mbbl; 4 Mbbl,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,23665 km 2,http://blocgame.com/stats.php?id=59564,
Kazilers Shoil,Haroni Ismaelist,http://blocgame.com/alliancestats.php?allianceid=2049,10k active personnel,0 ships,First World War surplus,Isolated,None,Good,last online 2 hours ago,rankings.php?subregion=mex,Brotherhood of Nod,3 Hundred Tons per month,1 Mbbl per month,$374 million,alliancestats.php?allianceid=2049,429 Mbbl; 1 Mbbl,Mesoamerica,Plentiful,None,http://blocgame.com/rankings.php?subregion=mex,23030 km 2,http://blocgame.com/stats.php?id=60641,
Zacto-7,zulcurrent,http://blocgame.com/alliancestats.php?allianceid=2044,30k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Good,last online 1 hours ago,rankings.php?subregion=pac,Aseang MMP,9 Hundred Tons per month,1 Mbbl per month,$374 million,alliancestats.php?allianceid=2044,303 Mbbl; 1 Mbbl,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,23828 km 2,http://blocgame.com/stats.php?id=61927,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=2048,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 2 hours ago,rankings.php?subregion=sub,Brotherhood of Zion,5 Hundred Tons per month,,$373 million,alliancestats.php?allianceid=2048,14 Mbbl,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,23828 km 2,http://blocgame.com/stats.php?id=45527,
Bluegene/Q,ChevalierCavac,http://blocgame.com/alliancestats.php?allianceid=2044,35k active personnel,0 ships,First World War surplus,Good,None,Good,last online 2 hours ago,rankings.php?subregion=ara,Aseang MMP,3 Hundred Tons per month,5 Mbbl per month,$373 million,alliancestats.php?allianceid=2044,3158 Mbbl; 5 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,23665 km 2,http://blocgame.com/stats.php?id=61506,
Turbanistan,eromer2,http://blocgame.com/alliancestats.php?allianceid=2045,19k active personnel,0 ships,First World War surplus,Normal,None,Elite,online now,rankings.php?subregion=sub,The Order,3 Hundred Tons per month,1 Mbbl per month,$373 million,alliancestats.php?allianceid=2045,65 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,23590 km 2,http://blocgame.com/stats.php?id=63007,
Ballzinga,Carejo,http://blocgame.com/alliancestats.php?allianceid=2045,30k active personnel,0 ships,Finest of the 19th century,Isolated,None,Standard,online now,rankings.php?subregion=gui,The Order,3 Hundred Tons per month,1 Mbbl per month,$373 million,alliancestats.php?allianceid=2045,318 Mbbl; 1 Mbbl,Guinea,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=gui,23333 km 2,http://blocgame.com/stats.php?id=63397,
Kikkomen,general_tso_chiken,http://blocgame.com/alliancestats.php?allianceid=2048,33k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Good,last online 7 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,3 Hundred Tons per month,2 Mbbl per month,$372 million,alliancestats.php?allianceid=2048,126 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,23665 km 2,http://blocgame.com/stats.php?id=53662,
Lorigan,Lorigan,http://blocgame.com/alliancestats.php?allianceid=2039,35k active personnel,0 ships,Finest of the 19th century,Good,None,Good,last online 1 hours ago,rankings.php?subregion=ama,The High Council,6 Hundred Tons per month,3 Mbbl per month,$372 million,alliancestats.php?allianceid=2039,452 Mbbl; 3 Mbbl,Amazonia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ama,23665 km 2,http://blocgame.com/stats.php?id=59787,
Novi Sad,Serbian Gamer,,35k active personnel,0 ships,First World War surplus,Questionable,None,Good,online now,rankings.php?subregion=egy,,3 Hundred Tons per month,2 Mbbl per month,$372 million,,2857 Mbbl; 2 Mbbl,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,23333 km 2,http://blocgame.com/stats.php?id=60752,
Nhayat,Nhayat,,51k active personnel,0 ships,Finest of the 19th century,Normal,None,Good,last online 1 hours ago,rankings.php?subregion=car,,4 Hundred Tons per month,1 Mbbl per month,$372 million,,331 Mbbl; 1 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,23828 km 2,http://blocgame.com/stats.php?id=62666,
OurTown,StarlightGlimmer,http://blocgame.com/alliancestats.php?allianceid=2045,34k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 2 hours ago,rankings.php?subregion=per,The Order,2 Hundred Tons per month,3 Mbbl per month,$371 million,alliancestats.php?allianceid=2045,2610 Mbbl,Persia,Plentiful,Small,http://blocgame.com/rankings.php?subregion=per,23665 km 2,http://blocgame.com/stats.php?id=51681,
Umbrella corp,Miss. Parks,http://blocgame.com/alliancestats.php?allianceid=2039,36k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 7 hours ago,rankings.php?subregion=chi,The High Council,4 Hundred Tons per month,2 Mbbl per month,$371 million,alliancestats.php?allianceid=2039,431 Mbbl; 2 Mbbl,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,23234 km 2,http://blocgame.com/stats.php?id=54467,
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=2039,33k active personnel,0 ships,Finest of the 19th century,Normal,None,Good,online now,rankings.php?subregion=mes,The High Council,4 Hundred Tons per month,6 Mbbl per month,$371 million,alliancestats.php?allianceid=2039,4822 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,23865 km 2,http://blocgame.com/stats.php?id=54825,
Kredik Shaw,Straff Venture,http://blocgame.com/alliancestats.php?allianceid=2049,39k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 1 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,4 Hundred Tons per month,4 Mbbl per month,$371 million,alliancestats.php?allianceid=2049,2042 Mbbl; 4 Mbbl,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,23665 km 2,http://blocgame.com/stats.php?id=60650,
kasturi,mt.lekiu,http://blocgame.com/alliancestats.php?allianceid=2044,38k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Standard,online now,rankings.php?subregion=congo,Aseang MMP,6 Hundred Tons per month,1 Mbbl per month,$371 million,alliancestats.php?allianceid=2044,327 Mbbl; 1 Mbbl,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,23965 km 2,http://blocgame.com/stats.php?id=60887,
Asaclar,Vladimir_accurate,http://blocgame.com/alliancestats.php?allianceid=2038,33k active personnel,0 ships,Finest of the 19th century,Good,None,Good,last online 4 hours ago,rankings.php?subregion=car,Che Guevara League,2 Hundred Tons per month,2 Mbbl per month,$371 million,alliancestats.php?allianceid=2038,57 Mbbl; 2 Mbbl,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,23665 km 2,http://blocgame.com/stats.php?id=62879,
Tr�pico,rumsod,http://blocgame.com/alliancestats.php?allianceid=2038,35k active personnel,0 ships,First World War surplus,Pariah,None,Standard,online now,rankings.php?subregion=car,Che Guevara League,12 Hundred Tons per month,1 Mbbl per month,$370 million,alliancestats.php?allianceid=2038,118 Mbbl; 1 Mbbl,Caribbean,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=car,23632 km 2,http://blocgame.com/stats.php?id=1,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=2039,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 7 hours ago,rankings.php?subregion=ara,The High Council,8 Hundred Tons per month,7 Mbbl per month,$370 million,alliancestats.php?allianceid=2039,3108 Mbbl; 7 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,23665 km 2,http://blocgame.com/stats.php?id=40238,
Greatest Ally,WilliamDaAsian,http://blocgame.com/alliancestats.php?allianceid=2049,23k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,5 Hundred Tons per month,1 Mbbl per month,$370 million,alliancestats.php?allianceid=2049,293 Mbbl,Indochina,Untapped,Small,http://blocgame.com/rankings.php?subregion=sea,23828 km 2,http://blocgame.com/stats.php?id=49097,
Adrianopolis,XAdrianT,http://blocgame.com/alliancestats.php?allianceid=2048,41k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,8 Hundred Tons per month,3 Mbbl per month,$370 million,alliancestats.php?allianceid=2048,2172 Mbbl; 3 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,23665 km 2,http://blocgame.com/stats.php?id=55912,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=2049,30k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,7 Hundred Tons per month,7 Mbbl per month,$370 million,alliancestats.php?allianceid=2049,1568 Mbbl; 7 Mbbl,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,23865 km 2,http://blocgame.com/stats.php?id=56860,
