aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
43k active personnel,Kgkerambit,The Order,3k active personnel,,Bongo Kongo,http://blocgame.com/news.php?page=4
51k active personnel,Johor,The Khilafah,48k active personnel,,\\\'Nam,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
31k active personnel,Last Horn,The Khilafah,2k active personnel,,Cromwell,http://blocgame.com/news.php?page=5
68k active personnel,Novi Sad,The High Council,30k active personnel,PIRATES,Pembunuh,http://blocgame.com/news.php?page=5
38k active personnel,ZY Kingdoms,The Order,19k active personnel,SPQR,Jurhiel,http://blocgame.com/news.php?page=5
32k active personnel,Idaho,The Order,5k active personnel,,Sawsasonstan,http://blocgame.com/news.php?page=5
32k active personnel,Lyranistan,Brotherhood of Nod,2k active personnel,The Order,Sandniggeristan,http://blocgame.com/news.php?page=5
42k active personnel,Persona-Grata,PIRATES,31k active personnel,Brotherhood of Nod,Parameswara,http://blocgame.com/news.php?page=5
60k active personnel,Veganism,,3k active personnel,,GhostNation,http://blocgame.com/news.php?page=5
47k active personnel,Kekistonia,The Order,5k active personnel,,lordmason22,http://blocgame.com/news.php?page=5
19k active personnel,Pathos,,59k active personnel,Brotherhood of Zion,Whitey,http://blocgame.com/news.php?page=5
71k active personnel,Valtania,,64k active personnel,Brotherhood of Zion,Prometheus,http://blocgame.com/news.php?page=5
48k active personnel,Skekenhouse,Brotherhood of Nod,44k active personnel,The Order,saiya,http://blocgame.com/news.php?page=5
48k active personnel,Ultios,The Order,9k active personnel,PIRATES,Titiwangsa,http://blocgame.com/news.php?page=5
35k active personnel,Rararaland,The Order,1k active personnel,,Darkplace,http://blocgame.com/news.php?page=5
28k active personnel,Blackwater Inc,PIRATES,3k active personnel,,Asear,http://blocgame.com/news.php?page=5
18k active personnel,Lothl�rien,,10k active personnel,,Bastwo,http://blocgame.com/news.php?page=5
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=6
30k active personnel,Freedom Treaty,The United Nations,2k active personnel,,Rogue Nation,http://blocgame.com/news.php?page=6
5k active personnel,Red Crazyguy,,36k active personnel,The Order,Viktoria,http://blocgame.com/news.php?page=6
24k active personnel,Psiloybia,Brotherhood of Zion,9k active personnel,,Mocha,http://blocgame.com/news.php?page=6
55k active personnel,Kosan,The High Council,9k active personnel,Brotherhood of Nod,Skirr,http://blocgame.com/news.php?page=6
58k active personnel,Dess,The Order,17k active personnel,,Japanesia,http://blocgame.com/news.php?page=6
58k active personnel,Djengling,Followers of Guadian,49k active personnel,The Federal Colonies,Falamata,http://blocgame.com/news.php?page=6
53k active personnel,Azhdahagate,Brotherhood of Nod,51k active personnel,PIRATES,Tanah Malaya,http://blocgame.com/news.php?page=6
22k active personnel,Haukinaria,The Order,16k active personnel,,Kenin,http://blocgame.com/news.php?page=6
25k active personnel,GayRights,Brotherhood of Nod,37k active personnel,SPQR,Ipoh,http://blocgame.com/news.php?page=6
23k active personnel,USSR,The Order,17k active personnel,,Vethuovania,http://blocgame.com/news.php?page=6
49k active personnel,Cascoia,Brotherhood of Zion,18k active personnel,,Smoking Bandit,http://blocgame.com/news.php?page=6
59k active personnel,Honduras,The High Council,21k active personnel,,Ronia,http://blocgame.com/news.php?page=6
51k active personnel,Aeter,The Order,7k active personnel,ISIS,Bantersciz,http://blocgame.com/news.php?page=6
50k active personnel,Myhouse,The United Nations,10k active personnel,Lithuanian Coalition,rio de la plata,http://blocgame.com/news.php?page=6
36k active personnel,Mingland,Brotherhood of Zion,22k active personnel,Lithuanian Coalition,S�l,http://blocgame.com/news.php?page=6
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=7
25k active personnel,Iraqghanistan,The Khilafah,33k active personnel,,Lobos,http://blocgame.com/news.php?page=7
56k active personnel,Deagle Nation!,Brotherhood of Nod,25k active personnel,,dingoland,http://blocgame.com/news.php?page=7
21k active personnel,The Hegemony,Interpol,60k active personnel,,Veganism,http://blocgame.com/news.php?page=7
27k active personnel,bukitbendera98,The Order,2k active personnel,,Tempest,http://blocgame.com/news.php?page=7
48k active personnel,Much War,The Order,13k active personnel,The Khilafah,Whadjuk,http://blocgame.com/news.php?page=7
59k active personnel,Whitey,Brotherhood of Zion,43k active personnel,,DARFA,http://blocgame.com/news.php?page=7
40k active personnel,Curonia,The Order,20k active personnel,,Erpland,http://blocgame.com/news.php?page=7
33k active personnel,Tarsonis,,10k active personnel,,Top Hat,http://blocgame.com/news.php?page=7
28k active personnel,Ironforge,,29k active personnel,,SS-Amazonien,http://blocgame.com/news.php?page=7
37k active personnel,Chūya,Brotherhood of Zion,25k active personnel,,Dromund Kaas,http://blocgame.com/news.php?page=7
39k active personnel,Classia,Brotherhood of Zion,9k active personnel,,Aminichina,http://blocgame.com/news.php?page=7
34k active personnel,Rudenia,Brotherhood of Zion,31k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=7
8k active personnel,Hidin,,37k active personnel,Al-Qassam Brigades,shair,http://blocgame.com/news.php?page=7
31k active personnel,Boomtown,The High Council,5k active personnel,,Raizar,http://blocgame.com/news.php?page=7
70k active personnel,Uzbekistan.,Brotherhood of Nod,28k active personnel,The Khilafah,Middlewest,http://blocgame.com/news.php?page=7
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=8
55k active personnel,Milano,The High Council,35k active personnel,,Tetsunoshima,http://blocgame.com/news.php?page=8
34k active personnel,Sector 6,The Order,2k active personnel,,Gerik,http://blocgame.com/news.php?page=8
9k active personnel,Boukachkistan,,5k active personnel,,Islamic Nations,http://blocgame.com/news.php?page=8
25k active personnel,Keksimania,,5k active personnel,,Aincrad,http://blocgame.com/news.php?page=8
20k active personnel,Irrelevant,The United Nations,31k active personnel,,OnePiece,http://blocgame.com/news.php?page=8
7k active personnel,Skhimm,Brotherhood of Nod,50k active personnel,The High Council,One Star,http://blocgame.com/news.php?page=8
7k active personnel,East Jakarta,,14k active personnel,,temasik,http://blocgame.com/news.php?page=8
3k active personnel,Kukulala,The High Council,38k active personnel,Divine League,Swagvila,http://blocgame.com/news.php?page=8
16k active personnel,Jevgeniumland,,30k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=8
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=9
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=10
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=11
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=12
