aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
44k active personnel,Junovia,Interpol,1k active personnel,,axmbest,http://blocgame.com/news.php?page=2
48k active personnel,Praetoria Augusta,SPQR,3k active personnel,The High Council,Dogenation,http://blocgame.com/news.php?page=2
40k active personnel,Black Gold,The Order,1k active personnel,The United Nations,Androzia,http://blocgame.com/news.php?page=2
52k active personnel,Texastan,Interpol,6k active personnel,,kinabalu,http://blocgame.com/news.php?page=2
40k active personnel,Yugoslothia,Brotherhood of Nod,15k active personnel,,MembumiHangus,http://blocgame.com/news.php?page=2
40k active personnel,Spartang,Pirates of Carribean,8k active personnel,,Wooumo,http://blocgame.com/news.php?page=2
25k active personnel,Dank Stank,The Order,57k active personnel,,Democrastan,http://blocgame.com/news.php?page=2
69k active personnel,Jemut,PIRATES,18k active personnel,Farmington Brigade,SOPF,http://blocgame.com/news.php?page=2
97k active personnel,Caballos,The United Nations,10k active personnel,,BOOP,http://blocgame.com/news.php?page=2
60k active personnel,Awesomeria,Brotherhood of Zion,57k active personnel,Kampung Baru,Rengit,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
10k active personnel,BOOP,,30k active personnel,Interpol,Cuttlefish,http://blocgame.com/news.php?page=3
51k active personnel,XDXDXD,Brotherhood of Zion,21k active personnel,SPQR,Romanovia,http://blocgame.com/news.php?page=3
48k active personnel,Malaysia.,PIRATES,44k active personnel,The Federal Colonies,Batu putih,http://blocgame.com/news.php?page=3
57k active personnel,Rengit,Kampung Baru,14k active personnel,Brotherhood of Zion,Onstantinia,http://blocgame.com/news.php?page=3
37k active personnel,Classia,Brotherhood of Zion,58k active personnel,The Order,Sana,http://blocgame.com/news.php?page=3
71k active personnel,Sintra,The Order,15k active personnel,Che Guevara League,Olivera,http://blocgame.com/news.php?page=3
29k active personnel,New Armenia,The United Nations,13k active personnel,,S--19,http://blocgame.com/news.php?page=3
53k active personnel,Octobia,The Federal Colonies,36k active personnel,,Cairobya,http://blocgame.com/news.php?page=3
18k active personnel,nerfprotoss,,18k active personnel,,galapagos1,http://blocgame.com/news.php?page=3
18k active personnel,galapagos1,,18k active personnel,,weebsunite,http://blocgame.com/news.php?page=3
18k active personnel,weebsunite,,18k active personnel,,charlesxavier,http://blocgame.com/news.php?page=3
18k active personnel,charlesxavier,,18k active personnel,,wildestislands,http://blocgame.com/news.php?page=3
18k active personnel,wildestislands,,18k active personnel,,hatchblock,http://blocgame.com/news.php?page=3
18k active personnel,hatchblock,,18k active personnel,,balancedgame,http://blocgame.com/news.php?page=3
40k active personnel,Potatopia,Brotherhood of Zion,1k active personnel,,Poz Loads,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
18k active personnel,balancedgame,,18k active personnel,,osfrog,http://blocgame.com/news.php?page=4
18k active personnel,basetrade,,18k active personnel,,icenation,http://blocgame.com/news.php?page=4
75k active personnel,Adrianopolis,Brotherhood of Zion,9k active personnel,The High Council,Nuketown,http://blocgame.com/news.php?page=4
41k active personnel,Giant Mechs,The High Council,2k active personnel,ISIS,pooperheds,http://blocgame.com/news.php?page=4
45k active personnel,New Wadowice,The Order,21k active personnel,,Unspecifistan,http://blocgame.com/news.php?page=4
10k active personnel,Endau,PIRATES,50k active personnel,The Federal Colonies,TheDarkSide,http://blocgame.com/news.php?page=4
94k active personnel,Avarice,Brotherhood of Nod,44k active personnel,Brotherhood of Zion,Kikkomen,http://blocgame.com/news.php?page=4
22k active personnel,Psychotropia,Brotherhood of Zion,7k active personnel,,ZESI,http://blocgame.com/news.php?page=4
55k active personnel,The NLR,Divine League,73k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=4
18k active personnel,osfrog,,18k active personnel,,basetrade,http://blocgame.com/news.php?page=4
18k active personnel,icenation,,18k active personnel,,theonehundred,http://blocgame.com/news.php?page=4
18k active personnel,theonehundred,,18k active personnel,,sixpool,http://blocgame.com/news.php?page=4
36k active personnel,Bamboon,,17k active personnel,,GWNP,http://blocgame.com/news.php?page=4
18k active personnel,sixpool,,18k active personnel,,deathtotyrants,http://blocgame.com/news.php?page=4
18k active personnel,deathtotyrants,,18k active personnel,,beyondthesummit,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
18k active personnel,beyondthesummit,,18k active personnel,,dendiface,http://blocgame.com/news.php?page=5
18k active personnel,dendiface,,18k active personnel,,navifanboy,http://blocgame.com/news.php?page=5
18k active personnel,ratdotabestdota,,18k active personnel,,Farm001,http://blocgame.com/news.php?page=5
35k active personnel,Eralidor,,15k active personnel,,edonia,http://blocgame.com/news.php?page=5
66k active personnel,Bourbon Island,Brotherhood of Zion,13k active personnel,The Khilafah,Pathos,http://blocgame.com/news.php?page=5
35k active personnel,Henessee,,20k active personnel,,�zilistan,http://blocgame.com/news.php?page=5
60k active personnel,Chongministan,The Order,19k active personnel,,Based World,http://blocgame.com/news.php?page=5
50k active personnel,TheDarkSide,The Federal Colonies,52k active personnel,PIRATES,Carpentaria,http://blocgame.com/news.php?page=5
34k active personnel,bro dude,Brotherhood of Zion,42k active personnel,The High Council,Utopiastan,http://blocgame.com/news.php?page=5
19k active personnel,Empyrea,The Order,34k active personnel,,Jurestist,http://blocgame.com/news.php?page=5
42k active personnel,Raja Udang,PIRATES,38k active personnel,,Cempaka,http://blocgame.com/news.php?page=5
9k active personnel,Nuketown,The High Council,34k active personnel,Brotherhood of Zion,bro dude,http://blocgame.com/news.php?page=5
18k active personnel,Golden Woods,,18k active personnel,,Lothl�rien,http://blocgame.com/news.php?page=5
46k active personnel,Johor,The Khilafah,7k active personnel,,\\\'Nam,http://blocgame.com/news.php?page=5
64k active personnel,Novi Sad,The High Council,7k active personnel,PIRATES,Pembunuh,http://blocgame.com/news.php?page=5
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=6
13k active personnel,Pathos,The Khilafah,49k active personnel,Brotherhood of Zion,Whitey,http://blocgame.com/news.php?page=6
70k active personnel,Dess,The Order,33k active personnel,,Japanesia,http://blocgame.com/news.php?page=6
9k active personnel,Haukinaria,The Order,16k active personnel,,Kenin,http://blocgame.com/news.php?page=6
25k active personnel,GayRights,Brotherhood of Nod,45k active personnel,SPQR,Ipoh,http://blocgame.com/news.php?page=6
49k active personnel,Whitey,Brotherhood of Zion,25k active personnel,The Khilafah,DARFA,http://blocgame.com/news.php?page=6
40k active personnel,Curonia,The Order,11k active personnel,,Erpland,http://blocgame.com/news.php?page=6
33k active personnel,Tarsonis,,20k active personnel,,Top Hat,http://blocgame.com/news.php?page=6
44k active personnel,Ironforge,,17k active personnel,,SS-Amazonien,http://blocgame.com/news.php?page=6
35k active personnel,Chūya,Brotherhood of Zion,6k active personnel,,Dromund Kaas,http://blocgame.com/news.php?page=6
34k active personnel,Rudenia,Brotherhood of Zion,22k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=6
4k active personnel,Hidin,,27k active personnel,Al-Qassam Brigades,shair,http://blocgame.com/news.php?page=6
55k active personnel,Milano,The High Council,35k active personnel,,Tetsunoshima,http://blocgame.com/news.php?page=6
30k active personnel,Irrelevant,The United Nations,31k active personnel,,OnePiece,http://blocgame.com/news.php?page=6
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=7
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=8
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=9
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=10
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=11
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=12
