aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
46k active personnel,Tyanra,SPQR,3k active personnel,,Drelinka,http://blocgame.com/news.php?page=2
58k active personnel,Kersumsos,The Order,17k active personnel,SPQR,The Joose,http://blocgame.com/news.php?page=2
18k active personnel,beyondthesummit,,18k active personnel,,dendiface,http://blocgame.com/news.php?page=2
76k active personnel,Jebawka,The Order,0k active personnel,SPQR,Russophia,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
18k active personnel,dendiface,,18k active personnel,,navifanboy,http://blocgame.com/news.php?page=3
18k active personnel,navifanboy,,18k active personnel,,ratdotabestdota,http://blocgame.com/news.php?page=3
31k active personnel,BongoBongoBongo,The Order,3k active personnel,,Dnindu nuff,http://blocgame.com/news.php?page=3
41k active personnel,Lolesco,The Order,3k active personnel,,Nandos Banter,http://blocgame.com/news.php?page=3
18k active personnel,ratdotabestdota,,18k active personnel,,Farm001,http://blocgame.com/news.php?page=3
73k active personnel,Tyrantia,The High Council,29k active personnel,The Order,Hitlerwasright,http://blocgame.com/news.php?page=3
72k active personnel,Arabic Union,Brotherhood of Zion,2k active personnel,Brotherhood of Nod,NationalFreedom,http://blocgame.com/news.php?page=3
35k active personnel,Eralidor,,15k active personnel,,edonia,http://blocgame.com/news.php?page=3
39k active personnel,RadYugoslavija,The High Council,4k active personnel,Farmington Brigade,Willacoochiepop,http://blocgame.com/news.php?page=3
27k active personnel,Baden,The High Council,8k active personnel,,Royal Malaya,http://blocgame.com/news.php?page=3
31k active personnel,Last Horn,The Khilafah,2k active personnel,,Shraith,http://blocgame.com/news.php?page=3
39k active personnel,Spaolia,The Federal Colonies,5k active personnel,The Federal Colonies,Belac,http://blocgame.com/news.php?page=3
66k active personnel,Bourbon Island,Brotherhood of Zion,16k active personnel,,Pathos,http://blocgame.com/news.php?page=3
53k active personnel,Razgriskm,Divine League,3k active personnel,,Fludena,http://blocgame.com/news.php?page=3
40k active personnel,Pink,The Order,2k active personnel,,Mesa,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
35k active personnel,Henessee,,20k active personnel,,�zilistan,http://blocgame.com/news.php?page=4
52k active personnel,Losong,PIRATES,1k active personnel,,The UCOA,http://blocgame.com/news.php?page=4
37k active personnel,Chinese Empire,The High Council,1k active personnel,,m4cm4ni4c,http://blocgame.com/news.php?page=4
44k active personnel,Hells Angel,The Order,11k active personnel,,SAMSON,http://blocgame.com/news.php?page=4
75k active personnel,Iwo Jima,The Order,9k active personnel,,bird land,http://blocgame.com/news.php?page=4
34k active personnel,Kotasinga,The Order,2k active personnel,,schekels,http://blocgame.com/news.php?page=4
69k active personnel,HiredGun,The Order,8k active personnel,,jibblejabble,http://blocgame.com/news.php?page=4
65k active personnel,sandshark,The Order,58k active personnel,Che Guevara League,Aryana,http://blocgame.com/news.php?page=4
41k active personnel,eQna8,The Order,5k active personnel,,Chagondowidi,http://blocgame.com/news.php?page=4
70k active personnel,Chongministan,The Order,9k active personnel,,Based World,http://blocgame.com/news.php?page=4
48k active personnel,Melengkar Alam,The High Council,42k active personnel,Comintern,Eurassia,http://blocgame.com/news.php?page=4
58k active personnel,Aryana,Che Guevara League,13k active personnel,The Order,Casopia,http://blocgame.com/news.php?page=4
55k active personnel,TheDarkSide,The Federal Colonies,27k active personnel,PIRATES,Carpentaria,http://blocgame.com/news.php?page=4
40k active personnel,Safavid Persia,The Order,21k active personnel,Al-Qassam Brigades,Parsistan,http://blocgame.com/news.php?page=4
15k active personnel,bro dude,Brotherhood of Zion,38k active personnel,The High Council,Utopiastan,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
25k active personnel,Empyrea,The Order,27k active personnel,,Jurestist,http://blocgame.com/news.php?page=5
47k active personnel,Raja Udang,PIRATES,16k active personnel,,Cempaka,http://blocgame.com/news.php?page=5
94k active personnel,Darkstone,The High Council,49k active personnel,PIRATES,Tandak,http://blocgame.com/news.php?page=5
36k active personnel,Prometheus,Brotherhood of Zion,50k active personnel,420 Empire,Eleuthera,http://blocgame.com/news.php?page=5
8k active personnel,Manturia-Korea,,4k active personnel,,Reformed Korea,http://blocgame.com/news.php?page=5
24k active personnel,Hansetica,The Order,38k active personnel,Interpol,Junovia,http://blocgame.com/news.php?page=5
29k active personnel,oliverhard,The High Council,14k active personnel,,Farsland,http://blocgame.com/news.php?page=5
76k active personnel,Olympia,Brotherhood of Zion,3k active personnel,The High Council,Fongelesia,http://blocgame.com/news.php?page=5
54k active personnel,Black Widow,The Order,2k active personnel,ISIS,Rebel Scum,http://blocgame.com/news.php?page=5
44k active personnel,Baghdad Iraqi,The High Council,0k active personnel,PIRATES,District21,http://blocgame.com/news.php?page=5
43k active personnel,Subcarpathia,Divine League,15k active personnel,Al-Qassam Brigades,Hezstallah,http://blocgame.com/news.php?page=5
59k active personnel,Nuketown,The High Council,15k active personnel,Brotherhood of Zion,bro dude,http://blocgame.com/news.php?page=5
18k active personnel,Panzer,The Order,3k active personnel,,Empire of China,http://blocgame.com/news.php?page=5
18k active personnel,Golden Woods,,18k active personnel,,Lothl�rien,http://blocgame.com/news.php?page=5
49k active personnel,Johor,The Khilafah,18k active personnel,,\\\'Nam,http://blocgame.com/news.php?page=5
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=6
67k active personnel,Novi Sad,The High Council,19k active personnel,PIRATES,Pembunuh,http://blocgame.com/news.php?page=6
38k active personnel,Lyranistan,Brotherhood of Nod,2k active personnel,,Sandniggeristan,http://blocgame.com/news.php?page=6
54k active personnel,Persona-Grata,PIRATES,4k active personnel,Brotherhood of Nod,Parameswara,http://blocgame.com/news.php?page=6
16k active personnel,Pathos,,59k active personnel,Brotherhood of Zion,Whitey,http://blocgame.com/news.php?page=6
58k active personnel,Dess,The Order,38k active personnel,,Japanesia,http://blocgame.com/news.php?page=6
4k active personnel,Djengling,Followers of Guadian,60k active personnel,The Federal Colonies,Falamata,http://blocgame.com/news.php?page=6
50k active personnel,Azhdahagate,Brotherhood of Nod,60k active personnel,PIRATES,Tanah Malaya,http://blocgame.com/news.php?page=6
9k active personnel,Haukinaria,The Order,16k active personnel,,Kenin,http://blocgame.com/news.php?page=6
25k active personnel,GayRights,Brotherhood of Nod,45k active personnel,SPQR,Ipoh,http://blocgame.com/news.php?page=6
23k active personnel,USSR,The Order,2k active personnel,,Vethuovania,http://blocgame.com/news.php?page=6
49k active personnel,Cascoia,Brotherhood of Zion,10k active personnel,,Smoking Bandit,http://blocgame.com/news.php?page=6
59k active personnel,Honduras,The High Council,12k active personnel,,Ronia,http://blocgame.com/news.php?page=6
46k active personnel,Myhouse,The United Nations,3k active personnel,Lithuanian Coalition,rio de la plata,http://blocgame.com/news.php?page=6
24k active personnel,Mingland,Brotherhood of Zion,22k active personnel,Lithuanian Coalition,S�l,http://blocgame.com/news.php?page=6
25k active personnel,Iraqghanistan,The Khilafah,29k active personnel,,Lobos,http://blocgame.com/news.php?page=6
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=7
56k active personnel,Deagle Nation!,Brotherhood of Nod,9k active personnel,,dingoland,http://blocgame.com/news.php?page=7
23k active personnel,The Hegemony,Interpol,60k active personnel,,Veganism,http://blocgame.com/news.php?page=7
59k active personnel,Whitey,Brotherhood of Zion,28k active personnel,,DARFA,http://blocgame.com/news.php?page=7
40k active personnel,Curonia,The Order,20k active personnel,,Erpland,http://blocgame.com/news.php?page=7
33k active personnel,Tarsonis,,10k active personnel,,Top Hat,http://blocgame.com/news.php?page=7
44k active personnel,Ironforge,,22k active personnel,,SS-Amazonien,http://blocgame.com/news.php?page=7
37k active personnel,Chūya,Brotherhood of Zion,15k active personnel,,Dromund Kaas,http://blocgame.com/news.php?page=7
34k active personnel,Rudenia,Brotherhood of Zion,29k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=7
4k active personnel,Hidin,,27k active personnel,Al-Qassam Brigades,shair,http://blocgame.com/news.php?page=7
66k active personnel,Uzbekistan.,Brotherhood of Nod,11k active personnel,The Khilafah,Middlewest,http://blocgame.com/news.php?page=7
55k active personnel,Milano,The High Council,35k active personnel,,Tetsunoshima,http://blocgame.com/news.php?page=7
34k active personnel,Sector 6,The Order,2k active personnel,,Gerik,http://blocgame.com/news.php?page=7
25k active personnel,Keksimania,,5k active personnel,,Aincrad,http://blocgame.com/news.php?page=7
30k active personnel,Irrelevant,The United Nations,31k active personnel,,OnePiece,http://blocgame.com/news.php?page=7
19k active personnel,Skhimm,Brotherhood of Nod,50k active personnel,The High Council,One Star,http://blocgame.com/news.php?page=7
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=8
7k active personnel,East Jakarta,,14k active personnel,,temasik,http://blocgame.com/news.php?page=8
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=9
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=10
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=11
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=12
